time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.281058888,5.0,4.37712351,4.27402805,0.0105537571,4.29951725,0.788053411,0.0950982684
0.282058888,5.0,4.37354435,4.27404755,0.0617305821,4.28517749,0.767174125,0.0982687425
0.283058888,5.0,4.37968573,4.27402946,0.106334361,4.31170693,0.787543376,0.0953293168
0.284058888,5.0,4.37626979,4.27404883,0.156565891,4.29668076,0.76670286,0.0984762367
0.285058888,5.0,4.38274451,4.27403052,0.200221176,4.32259831,0.787114688,0.0955008992
0.286058888,5.0,4.37884552,4.2740499,0.249551965,4.30696689,0.766281347,0.0986507191
0.287058888,5.0,4.38570878,4.27403137,0.292277124,4.33235456,0.786734701,0.0956400437
0.288058888,5.0,4.38132749,4.27405079,0.340726791,4.31619343,0.765905022,0.0987947717
0.289058888,5.0,4.38858598,4.27403205,0.382541024,4.3411218,0.786397013,0.0957505401
0.290058888,5.0,4.38371518,4.27405151,0.430129133,4.32449498,0.765567265,0.0989125286
0.291058888,5.0,4.39137171,4.2740326,0.471053343,4.34901881,0.78609264,0.0958387026
0.292058888,5.0,4.38599878,4.27405217,0.517806986,4.3319566,0.765249238,0.0990186075
0.293058888,5.0,4.39399877,4.27403349,0.557924967,4.35595627,0.785726051,0.0959842781
0.294058888,5.0,4.38737201,4.27406246,0.605342758,4.33515025,0.763141549,0.10068922
0.295058888,5.0,4.39385564,4.27405173,0.645860927,4.35320794,0.782288667,0.0989457043
0.295183888,5.0,4.3845596,4.27419759,0.674688054,4.32633012,0.758517461,0.122570768
0.29518727,5.0,4.38663323,4.27411658,0.661724657,4.33288976,0.765123876,0.109465942
0.295194034,5.0,4.38682073,4.27410491,0.66011665,4.33346548,0.765789634,0.107575015
0.295198387,5.0,4.38654288,4.27411614,0.662118755,4.33261303,0.764995651,0.10939503
0.295204375,5.0,4.38660073,4.27411082,0.661506427,4.33278978,0.765255449,0.108532315
0.295211339,5.0,4.38631853,4.27412049,0.663365255,4.33191718,0.764482445,0.110100033
0.295219102,5.0,4.38627363,4.27411907,0.663459105,4.33177779,0.764459242,0.109869434
0.295229713,5.0,4.38586029,4.27413192,0.665983042,4.33048676,0.763337209,0.111950121
0.295230067,5.0,4.38300825,4.27422602,0.681207461,4.32117928,0.754041294,0.127159846
0.295230078,5.0,4.38283562,4.27423068,0.681960069,4.32059269,0.753455082,0.127911995
0.2952301,5.0,4.38243039,4.27424142,0.683692464,4.31921213,0.752075292,0.129643473
0.295230145,5.0,4.38012315,4.27429361,0.692101668,4.31099938,0.743864457,0.138050852
0.295230186,5.0,4.27426693,4.27571826,0.915186373,0.133755669,-3.43337502,0.361140031
0.295230214,5.0,4.2740693,4.27602138,0.9610899,0.101798563,-3.46532982,0.407052141
0.295230239,5.0,4.27405965,4.27573143,0.917176456,0.100232708,-3.4668936,0.363146505
0.295230268,5.0,4.27397282,4.27602858,0.962157754,0.0861103011,-3.48101364,0.408136623
