 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 0.00000000e+00  0.00000000e+00  3.78929995e-01  4.10147296e-01  9.00000000e+00  4.68946127e+00  8.52026056e+00  7.08287309e-01  7.81197325e-03 
 5.00000000e-08  5.00000000e-08  3.79145517e-01  4.11853539e-01  9.00000000e+00  4.68956909e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.00000000e-07  1.00000000e-07  3.79361034e-01  4.13559097e-01  9.00000000e+00  4.68967685e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.00000000e-07  2.00000000e-07  3.79792056e-01  4.16968843e-01  9.00000000e+00  4.68989236e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.00000000e-07  4.00000000e-07  3.80654036e-01  4.23780133e-01  9.00000000e+00  4.69032335e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 8.00000000e-07  8.00000000e-07  3.82377737e-01  4.37369987e-01  9.00000000e+00  4.69118521e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 1.60000000e-06  1.60000000e-06  3.85824101e-01  4.64419478e-01  9.00000000e+00  4.69290839e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.39286663e-06  2.39286663e-06  3.89238373e-01  4.91057576e-01  9.00000000e+00  4.69461553e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 2.98315152e-06  2.98315152e-06  3.91779399e-01  5.10780285e-01  9.00000000e+00  4.69588604e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 3.67500811e-06  3.67500811e-06  3.94756711e-01  5.33779028e-01  9.00000000e+00  4.69737470e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.21716749e-06  4.21716749e-06  3.97089101e-01  5.51713297e-01  9.00000000e+00  4.69854089e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.48004485e-06  4.48004485e-06  3.98219781e-01  5.60381340e-01  9.00000000e+00  4.69910624e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.64136579e-06  4.64136579e-06  3.98913577e-01  5.65691746e-01  9.00000000e+00  4.69945313e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.73816035e-06  4.73816035e-06  3.99329835e-01  5.68874796e-01  9.00000000e+00  4.69966126e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.83541413e-06  4.83541413e-06  3.99748049e-01  5.72070489e-01  9.00000000e+00  4.69987037e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 4.94075491e-06  4.94075491e-06  4.00201016e-01  5.75529138e-01  9.00000000e+00  4.70009685e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
 5.10344993e-06  5.10344993e-06  4.00900559e-01  5.80865229e-01  9.00000000e+00  4.70044663e+00  8.52024994e+00  7.08287274e-01  7.81196266e-03 
