time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),@dled12_1[id]
0.0,0.378929995,0.410147296,9.0,4.68946127,8.52026056,0.708287309,0.00781197325
5e-08,0.379145517,0.411853539,9.0,4.68956909,8.52024994,0.708287274,0.00781196266
1e-07,0.379361034,0.413559097,9.0,4.68967685,8.52024994,0.708287274,0.00781196266
2e-07,0.379792056,0.416968843,9.0,4.68989236,8.52024994,0.708287274,0.00781196266
4e-07,0.380654036,0.423780133,9.0,4.69032335,8.52024994,0.708287274,0.00781196266
8e-07,0.382377737,0.437369987,9.0,4.69118521,8.52024994,0.708287274,0.00781196266
1.6e-06,0.385824101,0.464419478,9.0,4.69290839,8.52024994,0.708287274,0.00781196266
2.39286663e-06,0.389238373,0.491057576,9.0,4.69461553,8.52024994,0.708287274,0.00781196266
2.98315152e-06,0.391779399,0.510780285,9.0,4.69588604,8.52024994,0.708287274,0.00781196266
3.67500811e-06,0.394756711,0.533779028,9.0,4.6973747,8.52024994,0.708287274,0.00781196266
4.21716749e-06,0.397089101,0.551713297,9.0,4.69854089,8.52024994,0.708287274,0.00781196266
4.48004485e-06,0.398219781,0.56038134,9.0,4.69910624,8.52024994,0.708287274,0.00781196266
4.64136579e-06,0.398913577,0.565691746,9.0,4.69945313,8.52024994,0.708287274,0.00781196266
4.73816035e-06,0.399329835,0.568874796,9.0,4.69966126,8.52024994,0.708287274,0.00781196266
4.83541413e-06,0.399748049,0.572070489,9.0,4.69987037,8.52024994,0.708287274,0.00781196266
4.94075491e-06,0.400201016,0.575529138,9.0,4.70009685,8.52024994,0.708287274,0.00781196266
5.10344993e-06,0.400900559,0.580865229,9.0,4.70044663,8.52024994,0.708287274,0.00781196266
5.42883995e-06,0.402299476,0.591516822,9.0,4.70114609,8.52024994,0.708287274,0.00781196266
5.54872748e-06,0.402814839,0.595434411,9.0,4.70140377,8.52024994,0.708287274,0.00781196266
5.57869936e-06,0.402943674,0.596413112,9.0,4.70146818,8.52024994,0.708287274,0.00781196266
5.63864312e-06,0.40320134,0.598370051,9.0,4.70159702,8.52024994,0.708287274,0.00781196266
5.68983896e-06,0.403421409,0.600040687,9.0,4.70170705,8.52024994,0.708287274,0.00781196266
5.74280565e-06,0.403649085,0.601768432,9.0,4.70182089,8.52024994,0.708287274,0.00781196266
5.79319529e-06,0.403865676,0.603411468,9.0,4.70192919,8.52024994,0.708287274,0.00781196266
5.89397456e-06,0.404298835,0.606695598,9.0,4.70214577,8.52024994,0.708287274,0.00781196266
6.06003987e-06,0.405012532,0.612101476,9.0,4.70250261,8.52024994,0.708287274,0.00781196266
6.18752901e-06,0.40556039,0.616246684,9.0,4.70277654,8.52024994,0.708287274,0.00781196266
6.33424548e-06,0.40619083,0.621011813,9.0,4.70309176,8.52024994,0.708287274,0.00781196266
6.49884832e-06,0.406898082,0.626351279,9.0,4.70344539,8.52024994,0.708287274,0.00781196266
6.69056062e-06,0.407721751,0.632561465,9.0,4.70385723,8.52024994,0.708287274,0.00781196266
6.87127393e-06,0.408498093,0.638406833,9.0,4.7042454,8.52024994,0.708287274,0.00781196266
7.10486591e-06,0.409501491,0.645950303,9.0,4.7047471,8.52024994,0.708287274,0.00781196266
7.38150997e-06,0.410689663,0.654866088,9.0,4.70534118,8.52024994,0.708287274,0.00781196266
7.72763004e-06,0.412176005,0.665993667,9.0,4.70608435,8.52024994,0.708287274,0.00781196266
8.0733543e-06,0.413660392,0.677078377,9.0,4.70682655,8.52024994,0.708287274,0.00781196266
8.62557494e-06,0.416030846,0.694721572,9.0,4.70801178,8.52024994,0.708287274,0.00781196266
9.12568799e-06,0.41817706,0.710634132,9.0,4.70908489,8.52024994,0.708287274,0.00781196266
9.81271606e-06,0.421124537,0.73239263,9.0,4.71055863,8.52024994,0.708287274,0.00781196266
1.11867722e-05,0.427016453,0.775560979,9.0,4.71350459,8.52024994,0.708287274,0.00781196266
1.30532167e-05,0.435013236,0.833463818,9.0,4.71750298,8.52024994,0.708287274,0.00781196266
1.61509194e-05,0.448268881,0.927737573,9.0,4.72413081,8.52024994,0.708287274,0.00781196266
2.08654858e-05,0.468404025,1.06698484,9.0,4.73419839,8.52024994,0.708287274,0.00781196266
2.58654858e-05,0.489706406,1.20931241,9.0,4.74484959,8.52024994,0.708287274,0.00781196266
3.08654858e-05,0.510955594,1.34640643,9.0,4.7554742,8.52024994,0.708287274,0.00781196266
3.58654858e-05,0.532151721,1.47852291,9.0,4.76607227,8.52024994,0.708287274,0.00781196266
4.08654858e-05,0.553294921,1.60589988,9.0,4.77664389,8.52024994,0.708287274,0.00781196266
