 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 3.52800000e-03  3.52800000e-03  5.00000000e+00  7.98551473e-03  1.13404726e+00  5.06457461e-01  3.93063045e+00  3.60982880e-02 
 3.62800000e-03  3.62800000e-03  5.00000000e+00  7.59180435e-03  1.13383576e+00  5.06276588e-01  3.93179389e+00  3.71507418e-02 
 3.72800000e-03  3.72800000e-03  5.00000000e+00  7.16813258e-03  1.13362528e+00  5.06092307e-01  3.93278905e+00  3.80319908e-02 
 3.82800000e-03  3.82800000e-03  5.00000000e+00  6.71617147e-03  1.13341673e+00  5.05905476e-01  3.93361380e+00  3.87404199e-02 
 3.92800000e-03  3.92800000e-03  5.00000000e+00  6.23770470e-03  1.13321104e+00  5.05716951e-01  3.93426631e+00  3.92747207e-02 
 4.02800000e-03  4.02800000e-03  5.00000000e+00  5.73462056e-03  1.13300911e+00  5.05527591e-01  3.93474549e+00  3.96343432e-02 
 4.12800000e-03  4.12800000e-03  5.00000000e+00  5.20890449e-03  1.13281180e+00  5.05338247e-01  3.93505060e+00  3.98190714e-02 
 4.22800000e-03  4.22800000e-03  5.00000000e+00  4.66263125e-03  1.13261997e+00  5.05149764e-01  3.93518168e+00  3.98294700e-02 
 4.32800000e-03  4.32800000e-03  5.00000000e+00  4.09795674e-03  1.13243445e+00  5.04962978e-01  3.93513912e+00  3.96664562e-02 
 4.42800000e-03  4.42800000e-03  5.00000000e+00  3.51710946e-03  1.13225602e+00  5.04778713e-01  3.93492409e+00  3.93317416e-02 
 4.52800000e-03  4.52800000e-03  5.00000000e+00  2.92238177e-03  1.13208544e+00  5.04597776e-01  3.93453818e+00  3.88273992e-02 
 4.62800000e-03  4.62800000e-03  5.00000000e+00  2.31612076e-03  1.13192345e+00  5.04420959e-01  3.93398372e+00  3.81563007e-02 
 4.72800000e-03  4.72800000e-03  5.00000000e+00  1.70071909e-03  1.13177072e+00  5.04249033e-01  3.93326346e+00  3.73216787e-02 
 4.82800000e-03  4.82800000e-03  5.00000000e+00  1.07860545e-03  1.13162791e+00  5.04082743e-01  3.93238093e+00  3.63275591e-02 
 4.92800000e-03  4.92800000e-03  5.00000000e+00  4.52235051e-04  1.13149562e+00  5.03922812e-01  3.93134003e+00  3.51783181e-02 
 5.02800000e-03  5.02800000e-03  5.00000000e+00 -1.75920113e-04  1.13137441e+00  5.03769933e-01  3.93014545e+00  3.38791097e-02 
 5.12800000e-03  5.12800000e-03  5.00000000e+00 -8.03381001e-04  1.13126479e+00  5.03624769e-01  3.92880224e+00  3.24354177e-02 
 5.22800000e-03  5.22800000e-03  5.00000000e+00 -1.42767131e-03  1.13116722e+00  5.03487950e-01  3.92731619e+00  3.08534778e-02 
 5.32800000e-03  5.32800000e-03  5.00000000e+00 -2.04632726e-03  1.13108212e+00  5.03360070e-01  3.92569344e+00  2.91398248e-02 
 5.42800000e-03  5.42800000e-03  5.00000000e+00 -2.65690728e-03  1.13100985e+00  5.03241685e-01  3.92394084e+00  2.73017090e-02 
 5.52800000e-03  5.52800000e-03  5.00000000e+00 -3.25700171e-03  1.13095072e+00  5.03133314e-01  3.92206554e+00  2.53466390e-02 
 5.62800000e-03  5.62800000e-03  5.00000000e+00 -3.84424223e-03  1.13090498e+00  5.03035430e-01  3.92007537e+00  2.32827923e-02 
 5.72800000e-03  5.72800000e-03  5.00000000e+00 -4.41631129e-03  1.13087284e+00  5.02948467e-01  3.91797841e+00  2.11185538e-02 
 5.82800000e-03  5.82800000e-03  5.00000000e+00 -4.97095119e-03  1.13085445e+00  5.02872811e-01  3.91578335e+00  1.88629213e-02 
 5.92800000e-03  5.92800000e-03  5.00000000e+00 -5.50597301e-03  1.13084988e+00  5.02808803e-01  3.91349909e+00  1.65250392e-02 
 6.02800000e-03  6.02800000e-03  5.00000000e+00 -6.01926528e-03  1.13085919e+00  5.02756733e-01  3.91113507e+00  1.41145999e-02 
 6.12800000e-03  6.12800000e-03  5.00000000e+00 -6.50880225e-03  1.13088234e+00  5.02716847e-01  3.90870087e+00  1.16413731e-02 
 6.22800000e-03  6.22800000e-03  5.00000000e+00 -6.97265196e-03  1.13091927e+00  5.02689336e-01  3.90620655e+00  9.11560329e-03 
 6.32800000e-03  6.32800000e-03  5.00000000e+00 -7.40898379e-03  1.13096983e+00  5.02674343e-01  3.90366222e+00  6.54753544e-03 
 6.42800000e-03  6.42800000e-03  5.00000000e+00 -7.81607575e-03  1.13103386e+00  5.02671958e-01  3.90107839e+00  3.94780921e-03 
 6.52800000e-03  6.52800000e-03  5.00000000e+00 -8.19232123e-03  1.13111109e+00  5.02682226e-01  3.89846274e+00  1.32416840e-03 
 6.62800000e-03  6.62800000e-03  5.00000000e+00 -8.53623536e-03  1.13120124e+00  5.02705132e-01  3.89583240e+00 -1.30620170e-03 
 6.72800000e-03  6.72800000e-03  5.00000000e+00 -8.84646086e-03  1.13130398e+00  5.02740596e-01  3.89319721e+00 -3.93344600e-03 
 6.82800000e-03  6.82800000e-03  5.00000000e+00 -9.12177343e-03  1.13141892e+00  5.02788501e-01  3.89056173e+00 -6.55304100e-03 
 6.92800000e-03  6.92800000e-03  5.00000000e+00 -9.36108653e-03  1.13154560e+00  5.02848689e-01  3.88794050e+00 -9.15047896e-03 
 7.02800000e-03  7.02800000e-03  5.00000000e+00 -9.56345569e-03  1.13168353e+00  5.02920939e-01  3.88534435e+00 -1.17150090e-02 
 7.12800000e-03  7.12800000e-03  5.00000000e+00 -9.72808227e-03  1.13183219e+00  5.03004981e-01  3.88278382e+00 -1.42362197e-02 
 7.22800000e-03  7.22800000e-03  5.00000000e+00 -9.85431655e-03  1.13199100e+00  5.03100497e-01  3.88026951e+00 -1.67036517e-02 
 7.32800000e-03  7.32800000e-03  5.00000000e+00 -9.94166034e-03  1.13215935e+00  5.03207122e-01  3.87781163e+00 -1.91072790e-02 
 7.42800000e-03  7.42800000e-03  5.00000000e+00 -9.98976894e-03  1.13233657e+00  5.03324443e-01  3.87542035e+00 -2.14371198e-02 
 7.52800000e-03  7.52800000e-03  5.00000000e+00 -9.99845249e-03  1.13252199e+00  5.03452005e-01  3.87310539e+00 -2.36837147e-02 
 7.62800000e-03  7.62800000e-03  5.00000000e+00 -9.96767671e-03  1.13271488e+00  5.03589310e-01  3.87087634e+00 -2.58377341e-02 
 7.72800000e-03  7.72800000e-03  5.00000000e+00 -9.89756307e-03  1.13291449e+00  5.03735820e-01  3.86874222e+00 -2.78904524e-02 
 7.82800000e-03  7.82800000e-03  5.00000000e+00 -9.78838826e-03  1.13312004e+00  5.03890959e-01  3.86671186e+00 -2.98333517e-02 
 7.92800000e-03  7.92800000e-03  5.00000000e+00 -9.64058316e-03  1.13333073e+00  5.04054116e-01  3.86479345e+00 -3.16585926e-02 
 8.02800000e-03  8.02800000e-03  5.00000000e+00 -9.45473108e-03  1.13354574e+00  5.04224646e-01  3.86299492e+00 -3.33586129e-02 
