input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
JSON + datasheet,64,15.672,17.0,4.02,0.746,0.809,0.191,2.172,2.0,1.577,2.094,2.0,0.98,33.39,28.48,16.59,9087.875,6341.5,5031.98,2514.375,2696.5,908.045,11602.25,9031.5,5150.116,0.014492,0.005266,0.022763,25.93,25.61,4.92,14359.062,11799.0,5110.188,0.10631,0.097455,0.02692,0.641,0.859,2.609,2.359,2.172,2.125,1.859,2.781,1.766
JSON + immagine + datasheet,64,15.938,16.5,3.686,0.759,0.786,0.176,2.078,2.0,1.45,2.047,2.0,1.138,30.62,27.41,13.56,13686.5,8451.5,9402.18,2417.953,2520.5,972.098,16104.453,11274.5,9002.844,0.015757,0.005993,0.024039,24.91,24.57,5.58,14288.078,11668.0,5101.248,0.104597,0.093192,0.026961,0.562,0.844,2.703,2.484,2.0,2.25,1.797,2.828,1.875
