 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 1.80449917e-04  1.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.16400140e-02  2.13686798e-02  2.94885365e-01  1.73195347e-02  4.17381193e-03  2.94674609e-01  1.81205415e-02 
 1.90449917e-04  1.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.21061435e-02  2.18381959e-02  3.03790731e-01  1.77936070e-02  4.17460417e-03  3.03608400e-01  1.86162685e-02 
 2.00449917e-04  2.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.25018772e-02  2.22374837e-02  3.11361237e-01  1.81974793e-02  4.17541611e-03  3.11209135e-01  1.90385256e-02 
 2.10449917e-04  2.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.28256541e-02  2.25649041e-02  3.17566073e-01  1.85295582e-02  4.17624454e-03  3.17443847e-01  1.93856463e-02 
 2.20449917e-04  2.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.30761960e-02  2.28192230e-02  3.22381591e-01  1.87885326e-02  4.17708615e-03  3.22290562e-01  1.96562607e-02 
 2.30449917e-04  2.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32525150e-02  2.29993839e-02  3.25788046e-01  1.89733810e-02  4.17793759e-03  3.25727835e-01  1.98493009e-02 
 2.40449917e-04  2.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33539149e-02  2.31047249e-02  3.27772666e-01  1.90833734e-02  4.17879549e-03  3.27744158e-01  1.99640049e-02 
 2.50449917e-04  2.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33799962e-02  2.31347853e-02  3.28327024e-01  1.91180761e-02  4.17965642e-03  3.28329765e-01  1.99999201e-02 
 2.60449917e-04  2.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33306558e-02  2.30894886e-02  3.27449477e-01  1.90773516e-02  4.18051697e-03  3.27483952e-01  1.99569047e-02 
 2.70449917e-04  2.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32060890e-02  2.29689747e-02  3.25143004e-01  1.89613613e-02  4.18137371e-03  3.25208643e-01  1.98351286e-02 
 2.80449917e-04  2.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.30067873e-02  2.27737561e-02  3.21417158e-01  1.87705623e-02  4.18222323e-03  3.21514080e-01  1.96350723e-02 
 2.90449917e-04  2.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.27335378e-02  2.25045690e-02  3.16286240e-01  1.85057080e-02  4.18306217e-03  3.16413733e-01  1.93575253e-02 
 3.00449917e-04  3.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.23874188e-02  2.21625085e-02  3.09770879e-01  1.81678435e-02  4.18388717e-03  3.09928726e-01  1.90035831e-02 
 3.10449917e-04  3.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.19697968e-02  2.17488940e-02  3.01896447e-01  1.77583023e-02  4.18469496e-03  3.02083777e-01  1.85746423e-02 
 3.20449917e-04  3.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.14823199e-02  2.12653872e-02  2.92694345e-01  1.72787003e-02  4.18548233e-03  2.92910632e-01  1.80723960e-02 
 3.30449917e-04  3.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.09269125e-02  2.07138688e-02  2.82200598e-01  1.67309309e-02  4.18624614e-03  2.82444806e-01  1.74988261e-02 
 3.40449917e-04  3.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.03057664e-02  2.00965422e-02  2.70456900e-01  1.61171552e-02  4.18698334e-03  2.70728222e-01  1.68561964e-02 
 3.50449917e-04  3.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.96213336e-02  1.94158183e-02  2.57509347e-01  1.54397960e-02  4.18769102e-03  2.57806578e-01  1.61470429e-02 
 3.60449917e-04  3.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.88763150e-02  1.86744085e-02  2.43409281e-01  1.47015261e-02  4.18836634e-03  2.43731360e-01  1.53741645e-02 
 3.70449917e-04  3.70449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.80736515e-02  1.78752153e-02  2.28212127e-01  1.39052596e-02  4.18900662e-03  2.28557690e-01  1.45406112e-02 
 3.80449917e-04  3.80449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.72165108e-02  1.70214159e-02  2.11978081e-01  1.30541385e-02  4.18960930e-03  2.12345840e-01  1.36496728e-02 
 3.90449917e-04  3.90449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.63082760e-02  1.61163578e-02  1.94771012e-01  1.21515221e-02  4.19017198e-03  1.95159454e-01  1.27048654e-02 
 4.00449917e-04  4.00449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.53525316e-02  1.51636349e-02  1.76659027e-01  1.12009724e-02  4.19069242e-03  1.77066667e-01  1.17099177e-02 
 4.10449917e-04  4.10449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.43530499e-02  1.41669859e-02  1.57713424e-01  1.02062410e-02  4.19116853e-03  1.58138618e-01  1.06687563e-02 
 4.20449917e-04  4.20449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.33137754e-02  1.31303654e-02  1.38009158e-01  9.17125327e-03  4.19159840e-03  1.38450252e-01  9.58549019e-03 
 4.30449917e-04  4.30449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.22388101e-02  1.20578441e-02  1.17623823e-01  8.10009429e-03  4.19198033e-03  1.18079062e-01  8.46439452e-03 
 4.40449917e-04  4.40449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.11323962e-02  1.09536751e-02  9.66380431e-02  6.99699101e-03  4.19231276e-03  9.71056355e-02  7.30989376e-03 
 4.50449917e-04  4.50449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.99890103e-03  9.82219666e-03  7.51344830e-02  5.86629722e-03  4.19259438e-03  7.56125848e-02  6.12654418e-03 
 4.60449917e-04  4.60449917e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.84279766e-03  8.66789362e-03  5.31981674e-02  4.71247490e-03  4.19282403e-03  5.36848844e-02  4.91901593e-03 
