time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011)
0.0,-24.99993,-25.0,24.99993,25.0,0.00439999957,0.00416591031,-0.0318340853,0.0,0.00416591026,-0.0318340853,0.0
1e-07,-24.99993,-25.0,24.99993,25.0,0.00441188432,0.00416742546,-0.0318044367,1.18848157e-05,0.00416591027,-0.0318248201,1.25663698e-05
2e-07,-24.99993,-25.0,24.99993,25.0,0.00442389284,0.00417043642,-0.0317442891,2.38934603e-05,0.00416591027,-0.0317996542,2.51327346e-05
4e-07,-24.99993,-25.0,24.99993,25.0,0.0044479122,0.00417931028,-0.0315700393,4.79131727e-05,0.00416591028,-0.031710598,5.02654295e-05
8e-07,-24.99993,-25.0,24.99993,25.0,0.00449594809,0.00420991841,-0.0309814003,9.59504172e-05,0.00416591033,-0.0312964283,0.000100530542
1.6e-06,-24.99993,-25.0,24.99993,25.0,0.00459201055,0.00429485517,-0.029362951,0.000192018211,0.00416591064,-0.0298457797,0.000201058543
3.2e-06,-24.99993,-25.0,24.99993,25.0,0.00478410432,0.00448580144,-0.0257344413,0.000384133124,0.00416591227,-0.0262425114,0.000402096767
6.27023161e-06,-24.99993,-25.0,24.99993,25.0,0.00515254853,0.00485444456,-0.0187306177,0.000752657019,0.00416591931,-0.0192278329,0.000787736728
1.09967935e-05,-24.99993,-25.0,24.99993,25.0,0.00571906985,0.00542048782,-0.0079760202,0.00131940144,0.00416594018,-0.00847938768,0.00138079853
2.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.00684777426,0.00654905432,0.0134650557,0.00244891627,0.00416601833,0.0129700493,0.00256274702
3.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.00803178951,0.00773286109,0.0359548711,0.00363431442,0.00416615356,0.0354603062,0.00380314806
4.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.00920095038,0.00890233221,0.0581709925,0.004805393,0.00416634225,0.0576875583,0.00502853981
5.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.0103506435,0.0100523648,0.0800170022,0.00595753079,0.00416658366,0.0795389741,0.0062340862
6.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.0114763312,0.0111788403,0.101414179,0.00708618032,0.00416687679,0.100950117,0.00741502951
7.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.0125735717,0.012276951,0.122271658,0.00818688782,0.00416722046,0.121817553,0.00856670909
8.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.0136380344,0.0133426766,0.142512649,0.00925530879,0.0041676133,0.142075408,0.00968457977
9.04499172e-05,-24.99993,-25.0,24.99993,25.0,0.0146655191,0.0143715399,0.162052524,0.0102872271,0.00416805372,0.161629389,0.0107642298
0.000100449917,-24.99993,-25.0,24.99993,25.0,0.0156519705,0.0153597167,0.180818269,0.0112785698,0.00416853996,0.180414843,0.0118013984
0.000110449917,-24.99993,-25.0,24.99993,25.0,0.0165934962,0.0163031016,0.19873229,0.012225425,0.00416907008,0.198346713,0.0127919923
0.000120449917,-24.99993,-25.0,24.99993,25.0,0.0174863803,0.0171981515,0.215726957,0.0131240554,0.00416964196,0.215363783,0.013732102
0.000130449917,-24.99993,-25.0,24.99993,25.0,0.0183270995,0.0180411766,0.231732547,0.0139709149,0.00417025331,0.231390543,0.0146180173
0.000140449917,-24.99993,-25.0,24.99993,25.0,0.0191123358,0.018828989,0.246688209,0.0147626609,0.0041709017,0.246371069,0.0154462421
0.000150449917,-24.99993,-25.0,24.99993,25.0,0.0198389908,0.019558357,0.260532909,0.0154961693,0.00417158453,0.260239824,0.0162135075
0.000160449917,-24.99993,-25.0,24.99993,25.0,0.0205041966,0.0202265112,0.273213775,0.0161685446,0.0041722991,0.272947713,0.0169167857
0.000170449917,-24.99993,-25.0,24.99993,25.0,0.0211053285,0.020830718,0.284679223,0.0167771338,0.00417304255,0.28443964,0.0175533011
0.000180449917,-24.99993,-25.0,24.99993,25.0,0.021640014,0.0213686798,0.294885365,0.0173195347,0.00417381193,0.294674609,0.0181205415
0.000190449917,-24.99993,-25.0,24.99993,25.0,0.0221061435,0.0218381959,0.303790731,0.017793607,0.00417460417,0.3036084,0.0186162685
0.000200449917,-24.99993,-25.0,24.99993,25.0,0.0225018772,0.0222374837,0.311361237,0.0181974793,0.00417541611,0.311209135,0.0190385256
0.000210449917,-24.99993,-25.0,24.99993,25.0,0.0228256541,0.0225649041,0.317566073,0.0185295582,0.00417624454,0.317443847,0.0193856463
0.000220449917,-24.99993,-25.0,24.99993,25.0,0.023076196,0.022819223,0.322381591,0.0187885326,0.00417708615,0.322290562,0.0196562607
0.000230449917,-24.99993,-25.0,24.99993,25.0,0.023252515,0.0229993839,0.325788046,0.018973381,0.00417793759,0.325727835,0.0198493009
0.000240449917,-24.99993,-25.0,24.99993,25.0,0.0233539149,0.0231047249,0.327772666,0.0190833734,0.00417879549,0.327744158,0.0199640049
0.000250449917,-24.99993,-25.0,24.99993,25.0,0.0233799962,0.0231347853,0.328327024,0.0191180761,0.00417965642,0.328329765,0.0199999201
0.000260449917,-24.99993,-25.0,24.99993,25.0,0.0233306558,0.0230894886,0.327449477,0.0190773516,0.00418051697,0.327483952,0.0199569047
0.000270449917,-24.99993,-25.0,24.99993,25.0,0.023206089,0.0229689747,0.325143004,0.0189613613,0.00418137371,0.325208643,0.0198351286
0.000280449917,-24.99993,-25.0,24.99993,25.0,0.0230067873,0.0227737561,0.321417158,0.0187705623,0.00418222323,0.32151408,0.0196350723
0.000290449917,-24.99993,-25.0,24.99993,25.0,0.0227335378,0.022504569,0.31628624,0.018505708,0.00418306217,0.316413733,0.0193575253
0.000300449917,-24.99993,-25.0,24.99993,25.0,0.0223874188,0.0221625085,0.309770879,0.0181678435,0.00418388717,0.309928726,0.0190035831
0.000310449917,-24.99993,-25.0,24.99993,25.0,0.0219697968,0.021748894,0.301896447,0.0177583023,0.00418469496,0.302083777,0.0185746423
0.000320449917,-24.99993,-25.0,24.99993,25.0,0.0214823199,0.0212653872,0.292694345,0.0172787003,0.00418548233,0.292910632,0.018072396
0.000330449917,-24.99993,-25.0,24.99993,25.0,0.0209269125,0.0207138688,0.282200598,0.0167309309,0.00418624614,0.282444806,0.0174988261
0.000340449917,-24.99993,-25.0,24.99993,25.0,0.0203057664,0.0200965422,0.2704569,0.0161171552,0.00418698334,0.270728222,0.0168561964
0.000350449917,-24.99993,-25.0,24.99993,25.0,0.0196213336,0.0194158183,0.257509347,0.015439796,0.00418769102,0.257806578,0.0161470429
0.000360449917,-24.99993,-25.0,24.99993,25.0,0.018876315,0.0186744085,0.243409281,0.0147015261,0.00418836634,0.24373136,0.0153741645
0.000370449917,-24.99993,-25.0,24.99993,25.0,0.0180736515,0.0178752153,0.228212127,0.0139052596,0.00418900662,0.22855769,0.0145406112
0.000380449917,-24.99993,-25.0,24.99993,25.0,0.0172165108,0.0170214159,0.211978081,0.0130541385,0.0041896093,0.21234584,0.0136496728
0.000390449917,-24.99993,-25.0,24.99993,25.0,0.016308276,0.0161163578,0.194771012,0.0121515221,0.00419017198,0.195159454,0.0127048654
0.000400449917,-24.99993,-25.0,24.99993,25.0,0.0153525316,0.0151636349,0.176659027,0.0112009724,0.00419069242,0.177066667,0.0117099177
0.000410449917,-24.99993,-25.0,24.99993,25.0,0.0143530499,0.0141669859,0.157713424,0.010206241,0.00419116853,0.158138618,0.0106687563
0.000420449917,-24.99993,-25.0,24.99993,25.0,0.0133137754,0.0131303654,0.138009158,0.00917125327,0.0041915984,0.138450252,0.00958549019
0.000430449917,-24.99993,-25.0,24.99993,25.0,0.0122388101,0.0120578441,0.117623823,0.00810009429,0.00419198033,0.118079062,0.00846439452
0.000440449917,-24.99993,-25.0,24.99993,25.0,0.0111323962,0.0109536751,0.0966380431,0.00699699101,0.00419231276,0.0971056355,0.00730989376
0.000450449917,-24.99993,-25.0,24.99993,25.0,0.00999890103,0.00982219666,0.075134483,0.00586629722,0.00419259438,0.0756125848,0.00612654418
0.000460449917,-24.99993,-25.0,24.99993,25.0,0.00884279766,0.00866789362,0.0531981674,0.0047124749,0.00419282403,0.0536848844,0.00491901593
0.000470449917,-24.99993,-25.0,24.99993,25.0,0.00766864933,0.0074953028,0.0309155233,0.00354007799,0.00419300079,0.0314089475,0.00369207458
0.000480449917,-24.99993,-25.0,24.99993,25.0,0.00648108973,0.00630907074,0.00837464091,0.00235373305,0.00419312393,0.00887280689,0.00245056229
