 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 2.12800000e-02  2.12800000e-02  0.00000000e+00  9.00000000e+00  7.27838059e+00  7.27838058e+00  7.50665589e-01  1.51939148e-01  7.50665793e-01  1.51938697e-01  1.51626414e-02  1.51626423e-02 
 2.22800000e-02  2.22800000e-02  0.00000000e+00  9.00000000e+00  7.27838057e+00  7.27838059e+00  7.50665864e-01  1.51938538e-01  7.50665517e-01  1.51939308e-01  1.51626426e-02  1.51626410e-02 
 2.32800000e-02  2.32800000e-02  0.00000000e+00  9.00000000e+00  7.27838060e+00  7.27838056e+00  7.50665395e-01  1.51939579e-01  7.50665987e-01  1.51938266e-01  1.51626405e-02  1.51626432e-02 
 2.42800000e-02  2.42800000e-02  0.00000000e+00  9.00000000e+00  7.27838055e+00  7.27838061e+00  7.50666195e-01  1.51937803e-01  7.50665186e-01  1.51940043e-01  1.51626441e-02  1.51626395e-02 
 2.52800000e-02  2.52800000e-02  0.00000000e+00  9.00000000e+00  7.27838063e+00  7.27838053e+00  7.50664831e-01  1.51940832e-01  7.50666551e-01  1.51937013e-01  1.51626379e-02  1.51626458e-02 
 2.62800000e-02  2.62800000e-02  0.00000000e+00  9.00000000e+00  7.27838049e+00  7.27838067e+00  7.50667158e-01  1.51935665e-01  7.50664224e-01  1.51942180e-01  1.51626486e-02  1.51626351e-02 
 2.72800000e-02  2.72800000e-02  0.00000000e+00  9.00000000e+00  7.27838074e+00  7.27838043e+00  7.50663189e-01  1.51944477e-01  7.50668192e-01  1.51933367e-01  1.51626303e-02  1.51626533e-02 
 2.82800000e-02  2.82800000e-02  0.00000000e+00  9.00000000e+00  7.27838032e+00  7.27838084e+00  7.50669957e-01  1.51929448e-01  7.50661424e-01  1.51948393e-01  1.51626614e-02  1.51626222e-02 
 2.92800000e-02  2.92800000e-02  0.00000000e+00  9.00000000e+00  7.27838103e+00  7.27838013e+00  7.50658415e-01  1.51955071e-01  7.50672966e-01  1.51922761e-01  1.51626084e-02  1.51626753e-02 
 3.02800000e-02  3.02800000e-02  0.00000000e+00  9.00000000e+00  7.27837982e+00  7.27838135e+00  7.50678097e-01  1.51911353e-01  7.50653282e-01  1.51966454e-01  1.51626989e-02  1.51625849e-02 
 3.12800000e-02  3.12800000e-02  0.00000000e+00  9.00000000e+00  7.27838188e+00  7.27837928e+00  7.50644526e-01  1.51985850e-01  7.50686846e-01  1.51891883e-01  1.51625448e-02  1.51627391e-02 
 3.22800000e-02  3.22800000e-02  0.00000000e+00  9.00000000e+00  7.27837835e+00  7.27838280e+00  7.50701762e-01  1.51858634e-01  7.50629591e-01  1.52018884e-01  1.51628079e-02  1.51624764e-02 
