 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)        
 2.80113314e-02  2.80113314e-02  5.00000000e+00  4.27397100e+00  4.32244117e+00  8.04050677e-01  8.58142185e-02 -1.82791758e+00  3.68129301e+00 
 2.90113314e-02  2.90113314e-02  5.00000000e+00  4.27397527e+00  4.32431658e+00  8.02000281e-01  8.65089340e-02 -1.76150997e+00  3.72800009e+00 
 3.00113314e-02  3.00113314e-02  5.00000000e+00  4.27397865e+00  4.32618736e+00  8.00119290e-01  8.70607180e-02 -1.69588376e+00  3.77147106e+00 
 3.10113314e-02  3.10113314e-02  5.00000000e+00  4.27398276e+00  4.32805104e+00  7.98341808e-01  8.77299570e-02 -1.63077228e+00  3.81188743e+00 
 3.20113314e-02  3.20113314e-02  5.00000000e+00  4.27398591e+00  4.32990953e+00  7.96715010e-01  8.82424566e-02 -1.56644346e+00  3.84952570e+00 
 3.30113314e-02  3.30113314e-02  5.00000000e+00  4.27398984e+00  4.33175999e+00  7.95173436e-01  8.88819017e-02 -1.50260745e+00  3.88453302e+00 
 3.40113314e-02  3.40113314e-02  5.00000000e+00  4.27399272e+00  4.33360467e+00  7.93766353e-01  8.93513072e-02 -1.43955506e+00  3.91715572e+00 
 3.50113314e-02  3.50113314e-02  5.00000000e+00  4.27399645e+00  4.33544026e+00  7.92428623e-01  8.99577709e-02 -1.37697313e+00  3.94751136e+00 
 3.60113314e-02  3.60113314e-02  5.00000000e+00  4.27399905e+00  4.33726943e+00  7.91211380e-01  9.03815248e-02 -1.31517535e+00  3.97582044e+00 
 3.70113314e-02  3.70113314e-02  5.00000000e+00  4.27400256e+00  4.33908839e+00  7.90049721e-01  9.09529081e-02 -1.25382544e+00  4.00217503e+00 
 3.80113314e-02  3.80113314e-02  5.00000000e+00  4.27400488e+00  4.34090022e+00  7.88996448e-01  9.13296389e-02 -1.19325972e+00  4.02677345e+00 
 3.90113314e-02  3.90113314e-02  5.00000000e+00  4.27400817e+00  4.34270060e+00  7.87986815e-01  9.18648501e-02 -1.13311920e+00  4.04968587e+00 
 4.00113314e-02  4.00113314e-02  5.00000000e+00  4.27401019e+00  4.34449314e+00  7.87075115e-01  9.21942655e-02 -1.07376232e+00  4.07109160e+00 
 4.10113314e-02  4.10113314e-02  5.00000000e+00  4.27401326e+00  4.34627289e+00  7.86196699e-01  9.26931111e-02 -1.01480811e+00  4.09104189e+00 
 4.20113314e-02  4.20113314e-02  5.00000000e+00  4.27401500e+00  4.34804405e+00  7.85407190e-01  9.29758612e-02 -9.56636366e-01  4.10969979e+00 
 4.30113314e-02  4.30113314e-02  5.00000000e+00  4.27401784e+00  4.34980099e+00  7.84641990e-01  9.34389146e-02 -8.98845072e-01  4.12710027e+00 
 4.40113314e-02  4.40113314e-02  5.00000000e+00  4.27401930e+00  4.35154859e+00  7.83957910e-01  9.36764369e-02 -8.41834444e-01  4.14339243e+00 
 4.50113314e-02  4.50113314e-02  5.00000000e+00  4.27402194e+00  4.35328047e+00  7.83290363e-01  9.41048979e-02 -7.85182503e-01  4.15859720e+00 
 4.60113314e-02  4.60113314e-02  5.00000000e+00  4.27402313e+00  4.35500225e+00  7.82697219e-01  9.42992535e-02 -7.29308795e-01  4.17285173e+00 
 4.70113314e-02  4.70113314e-02  5.00000000e+00  4.27402557e+00  4.35670675e+00  7.82113873e-01  9.46948065e-02 -6.73772622e-01  4.18616485e+00 
 4.80113314e-02  4.80113314e-02  5.00000000e+00  4.27402651e+00  4.35840043e+00  7.81599141e-01  9.48485199e-02 -6.19011641e-01  4.19866347e+00 
 4.90113314e-02  4.90113314e-02  5.00000000e+00  4.27402876e+00  4.36007521e+00  7.81088377e-01  9.52131986e-02 -5.64567764e-01  4.21034602e+00 
 5.00113314e-02  5.00113314e-02  5.00000000e+00  4.27402947e+00  4.36173851e+00  7.80641241e-01  9.53291077e-02 -5.10895463e-01  4.22133061e+00 
 5.10113314e-02  5.10113314e-02  5.00000000e+00  4.27403154e+00  4.36338127e+00  7.80193026e-01  9.56651725e-02 -4.57520641e-01  4.23160668e+00 
 5.20113314e-02  5.20113314e-02  5.00000000e+00  4.27403203e+00  4.36501196e+00  7.79804149e-01  9.57462949e-02 -4.04913249e-01  4.24128486e+00 
 5.30113314e-02  5.30113314e-02  5.00000000e+00  4.27403394e+00  4.36662047e+00  7.79409827e-01  9.60561267e-02 -3.52584575e-01  4.25034683e+00 
 5.40113314e-02  5.40113314e-02  5.00000000e+00  4.27403424e+00  4.36821641e+00  7.79071155e-01  9.61055462e-02 -3.01018705e-01  4.25889678e+00 
 5.50113314e-02  5.50113314e-02  5.00000000e+00  4.27403600e+00  4.36978858e+00  7.78723262e-01  9.63915579e-02 -2.49713684e-01  4.26690974e+00 
 5.60113314e-02  5.60113314e-02  5.00000000e+00  4.27403613e+00  4.37134778e+00  7.78427849e-01  9.64123322e-02 -1.99166416e-01  4.27448440e+00 
 5.70113314e-02  5.70113314e-02  5.00000000e+00  4.27403776e+00  4.37288168e+00  7.78119952e-01  9.66768980e-02 -1.48863030e-01  4.28159002e+00 
 5.80113314e-02  5.80113314e-02  5.00000000e+00  4.27403773e+00  4.37440238e+00  7.77861816e-01  9.66719874e-02 -9.93119745e-02  4.28832059e+00 
 5.90113314e-02  5.90113314e-02  5.00000000e+00  4.27403924e+00  4.37589631e+00  7.77588376e-01  9.69173906e-02 -4.99887213e-02  4.29464044e+00 
 6.00113314e-02  6.00113314e-02  5.00000000e+00  4.27403907e+00  4.37737695e+00  7.77362366e-01  9.68896055e-02 -1.41206014e-03  4.30063954e+00 
 6.10113314e-02  6.10113314e-02  5.00000000e+00  4.27404048e+00  4.37882946e+00  7.77118618e-01  9.71180000e-02  4.69520149e-02  4.30627795e+00 
 6.20113314e-02  6.20113314e-02  5.00000000e+00  4.27404018e+00  4.38026878e+00  7.76920306e-01  9.70699659e-02  9.45755049e-02  4.31164221e+00 
 6.30113314e-02  6.30113314e-02  5.00000000e+00  4.27404149e+00  4.38167873e+00  7.76702152e-01  9.72833526e-02  1.42000799e-01  4.31668870e+00 
 6.40113314e-02  6.40113314e-02  5.00000000e+00  4.27404109e+00  4.38307574e+00  7.76527731e-01  9.72174893e-02  1.88691735e-01  4.32150107e+00 
 6.50113314e-02  6.50113314e-02  5.00000000e+00  4.27404232e+00  4.38444228e+00  7.76331653e-01  9.74177026e-02  2.35198084e-01  4.32603251e+00 
 6.60113314e-02  6.60113314e-02  5.00000000e+00  4.27404182e+00  4.38579633e+00  7.76177851e-01  9.73362159e-02  2.80976481e-01  4.33036420e+00 
 6.70113314e-02  6.70113314e-02  5.00000000e+00  4.27404298e+00  4.38711894e+00  7.76000820e-01  9.75249256e-02  3.26583173e-01  4.33444660e+00 
