epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2344.87,1.07488,0.51806,1.07656,0.89323,0.89733,0.91373,0.63,1.33392,0.5725,1.28785,0.00016516,0.00016516,0.00016516
43,2398.84,1.08061,0.52646,1.08689,0.89633,0.85235,0.90222,0.62068,1.32462,0.5636,1.2834,0.000162408,0.000162408,0.000162408
44,2454.15,1.05733,0.50579,1.07254,0.90914,0.8712,0.92199,0.63992,1.33005,0.55607,1.29088,0.000159655,0.000159655,0.000159655
45,2509.28,1.06813,0.51864,1.07736,0.89933,0.89199,0.92997,0.63519,1.33541,0.55613,1.29751,0.000156903,0.000156903,0.000156903
46,2564.77,1.05057,0.5065,1.07289,0.9402,0.86049,0.92604,0.63557,1.32838,0.54916,1.2854,0.000154151,0.000154151,0.000154151
47,2621.79,1.03306,0.5036,1.06279,0.92574,0.85059,0.91213,0.62693,1.33681,0.5552,1.29468,0.000151399,0.000151399,0.000151399
48,2676.71,1.02145,0.497,1.06569,0.90606,0.8882,0.91582,0.62281,1.3439,0.55606,1.303,0.000148647,0.000148647,0.000148647
49,2731.18,1.01994,0.48951,1.05047,0.90779,0.8904,0.92773,0.63235,1.32792,0.55423,1.29873,0.000145894,0.000145894,0.000145894
50,2785.86,1.01644,0.48802,1.04359,0.9192,0.88295,0.91868,0.62518,1.33275,0.54913,1.30354,0.000143142,0.000143142,0.000143142
51,2839.89,1.01291,0.48675,1.05579,0.90665,0.86242,0.91164,0.625,1.33944,0.55863,1.30626,0.00014039,0.00014039,0.00014039
52,2895.46,1.01177,0.48592,1.04983,0.94167,0.86865,0.93318,0.64562,1.33555,0.5551,1.29464,0.000137638,0.000137638,0.000137638
53,2951.59,0.99761,0.4782,1.04528,0.93247,0.85374,0.91993,0.62268,1.34097,0.54572,1.30944,0.000134886,0.000134886,0.000134886
54,3005.58,0.98905,0.47674,1.0414,0.89715,0.8798,0.92981,0.63293,1.34398,0.54841,1.31696,0.000132133,0.000132133,0.000132133
55,3061.33,0.98412,0.47222,1.04306,0.93667,0.87778,0.92864,0.62996,1.35505,0.56389,1.31902,0.000129381,0.000129381,0.000129381
56,3116.54,0.98505,0.47118,1.03544,0.89457,0.90658,0.93025,0.63413,1.32372,0.54164,1.30446,0.000126629,0.000126629,0.000126629
57,3172.81,0.97352,0.46912,1.02868,0.94079,0.86363,0.92137,0.63109,1.3428,0.55039,1.309,0.000123877,0.000123877,0.000123877
58,3228.09,0.96333,0.46728,1.03001,0.89374,0.90382,0.93522,0.63328,1.35186,0.54451,1.32559,0.000121125,0.000121125,0.000121125
59,3282.9,0.96659,0.46514,1.03245,0.88572,0.9036,0.93801,0.64223,1.3385,0.54369,1.3194,0.000118372,0.000118372,0.000118372
60,3337.64,0.95858,0.46272,1.02869,0.93917,0.88721,0.93482,0.64122,1.34085,0.5314,1.32277,0.00011562,0.00011562,0.00011562
61,3392.44,0.94878,0.45962,1.03043,0.93427,0.87752,0.93408,0.64272,1.33984,0.55038,1.31632,0.000112868,0.000112868,0.000112868
62,3446.07,0.93574,0.45233,1.01264,0.94238,0.85499,0.92524,0.6465,1.33323,0.5481,1.31739,0.000110116,0.000110116,0.000110116
63,3501.34,0.92723,0.44818,1.01062,0.9436,0.90045,0.95127,0.65526,1.34638,0.53975,1.34128,0.000107364,0.000107364,0.000107364
64,3556.21,0.93429,0.45228,1.00691,0.93721,0.87377,0.93824,0.64346,1.33221,0.54076,1.32585,0.000104611,0.000104611,0.000104611
65,3609.53,0.92623,0.44383,1.0149,0.94079,0.86894,0.93656,0.64843,1.34467,0.55311,1.33081,0.000101859,0.000101859,0.000101859
66,3663.87,0.92281,0.4474,1.00936,0.93059,0.87492,0.93766,0.65318,1.34156,0.53498,1.33092,9.9107e-05,9.9107e-05,9.9107e-05
66,43.7711,0.92048,0.45127,1.01244,0.92876,0.87081,0.928,0.64414,1.35144,0.54824,1.34442,9.9107e-05,9.9107e-05,9.9107e-05
67,87.4708,0.91082,0.44467,1.00607,0.93078,0.86961,0.92517,0.64467,1.33926,0.54943,1.33148,9.63548e-05,9.63548e-05,9.63548e-05
68,133.9,0.89099,0.42869,0.99196,0.92676,0.87062,0.93039,0.64736,1.34301,0.54505,1.33399,9.36026e-05,9.36026e-05,9.36026e-05
69,178.768,0.90104,0.43188,1.00216,0.91097,0.88022,0.92358,0.63982,1.34045,0.54577,1.32919,9.08504e-05,9.08504e-05,9.08504e-05
70,224.42,0.88909,0.42737,1.00112,0.93015,0.88,0.93832,0.64129,1.33974,0.53405,1.33217,8.80982e-05,8.80982e-05,8.80982e-05
71,270.087,0.88343,0.42682,0.99322,0.94859,0.87616,0.93374,0.64297,1.34209,0.54774,1.34242,8.5346e-05,8.5346e-05,8.5346e-05
72,315.688,0.87331,0.42815,0.99148,0.95176,0.86184,0.93477,0.64211,1.3378,0.54012,1.33866,8.25938e-05,8.25938e-05,8.25938e-05
73,361.38,0.86963,0.42731,0.99194,0.92577,0.87698,0.92064,0.63436,1.34832,0.54471,1.33366,7.98416e-05,7.98416e-05,7.98416e-05
74,406.759,0.86402,0.42259,0.99398,0.93659,0.8871,0.92603,0.63586,1.34586,0.53727,1.35132,7.70894e-05,7.70894e-05,7.70894e-05
75,452.108,0.87327,0.42118,0.99621,0.93094,0.88401,0.92361,0.63676,1.3337,0.53299,1.34075,7.43372e-05,7.43372e-05,7.43372e-05
76,497.681,0.85913,0.42202,0.98548,0.94897,0.87204,0.92439,0.63449,1.34849,0.53804,1.35619,7.1585e-05,7.1585e-05,7.1585e-05
77,543.089,0.84687,0.40884,0.98207,0.94264,0.88194,0.92885,0.64445,1.33719,0.54442,1.3448,6.88328e-05,6.88328e-05,6.88328e-05
78,588.37,0.84822,0.41592,0.9774,0.93335,0.87356,0.92454,0.63057,1.334,0.54693,1.33992,6.60806e-05,6.60806e-05,6.60806e-05
79,633.797,0.83891,0.40559,0.97063,0.94517,0.87544,0.93175,0.64386,1.34583,0.54473,1.35461,6.33284e-05,6.33284e-05,6.33284e-05
80,679.291,0.84167,0.4154,0.98252,0.93297,0.88618,0.92423,0.63995,1.34867,0.54103,1.35694,6.05762e-05,6.05762e-05,6.05762e-05
81,724.643,0.83513,0.41042,0.97298,0.93462,0.88294,0.91728,0.6352,1.35163,0.54649,1.35874,5.7824e-05,5.7824e-05,5.7824e-05
82,770.342,0.82184,0.40325,0.9716,0.93967,0.87976,0.92673,0.64212,1.34923,0.54301,1.36025,5.50718e-05,5.50718e-05,5.50718e-05
83,815.847,0.83233,0.40573,0.97424,0.93697,0.87533,0.92697,0.62997,1.34645,0.55031,1.35563,5.23196e-05,5.23196e-05,5.23196e-05
84,861.162,0.80849,0.39551,0.96621,0.93073,0.88311,0.92619,0.63286,1.34436,0.54542,1.36002,4.95674e-05,4.95674e-05,4.95674e-05
85,906.642,0.80366,0.39782,0.96752,0.93639,0.8793,0.91258,0.63036,1.34132,0.54424,1.35898,4.68152e-05,4.68152e-05,4.68152e-05
86,951.727,0.80261,0.40089,0.96118,0.94878,0.86724,0.91665,0.63367,1.34248,0.54633,1.36379,4.4063e-05,4.4063e-05,4.4063e-05
87,997.716,0.80127,0.39644,0.96685,0.93757,0.88501,0.92132,0.64441,1.34073,0.54218,1.35568,4.13108e-05,4.13108e-05,4.13108e-05
88,1043,0.79398,0.39218,0.96046,0.93477,0.88143,0.93151,0.64667,1.34098,0.54587,1.35963,3.85586e-05,3.85586e-05,3.85586e-05
89,1088.54,0.79515,0.39111,0.9561,0.94672,0.87672,0.91736,0.637,1.34502,0.54458,1.36907,3.58064e-05,3.58064e-05,3.58064e-05
90,1133.49,0.78726,0.39107,0.95872,0.94634,0.88242,0.9183,0.63966,1.34043,0.54698,1.36416,3.30542e-05,3.30542e-05,3.30542e-05
91,1178.62,0.72563,0.34482,0.94087,0.94051,0.87048,0.93088,0.6441,1.34735,0.54623,1.36898,3.0302e-05,3.0302e-05,3.0302e-05
92,1223.66,0.72222,0.34104,0.93584,0.93436,0.87501,0.92605,0.63958,1.34481,0.54231,1.3715,2.75498e-05,2.75498e-05,2.75498e-05
93,1268.51,0.71086,0.33686,0.93835,0.93845,0.87061,0.92553,0.63739,1.34758,0.54258,1.37267,2.47976e-05,2.47976e-05,2.47976e-05
94,1313.36,0.70508,0.33568,0.92654,0.95107,0.86018,0.92643,0.64179,1.34092,0.54275,1.37295,2.20454e-05,2.20454e-05,2.20454e-05
95,1358.35,0.70359,0.33662,0.92866,0.95338,0.85652,0.92834,0.64182,1.34501,0.53933,1.37864,1.92932e-05,1.92932e-05,1.92932e-05
96,1403.31,0.69524,0.32916,0.92902,0.93172,0.88505,0.93147,0.64557,1.34639,0.5376,1.38152,1.6541e-05,1.6541e-05,1.6541e-05
97,1448.38,0.68549,0.32645,0.92625,0.95451,0.86248,0.93007,0.64426,1.34171,0.53648,1.38066,1.37888e-05,1.37888e-05,1.37888e-05
98,1492.88,0.68379,0.327,0.92091,0.95563,0.86252,0.93016,0.64087,1.35037,0.5398,1.38623,1.10366e-05,1.10366e-05,1.10366e-05
99,1537.77,0.68013,0.3255,0.92434,0.93386,0.87683,0.92672,0.64099,1.34756,0.538,1.38463,8.2844e-06,8.2844e-06,8.2844e-06
100,1582.57,0.68524,0.32982,0.92343,0.9415,0.87332,0.92897,0.6433,1.34798,0.53672,1.38604,5.5322e-06,5.5322e-06,5.5322e-06
