 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 6.25633355e-04  6.25633355e-04  1.34860361e+01  7.59206839e-01  9.49172528e-02  4.14262971e+00  1.34860372e+01  4.14262890e+00  1.35253538e+00  7.19781255e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.04986308e+00  1.02555687e-02 -1.10443791e-08  3.67885517e-08  4.21204375e-04 
 7.25633355e-04  7.25633355e-04  1.34860389e+01  7.76766221e-01  1.03876976e-01  4.79407921e+00  1.34860404e+01  4.79407837e+00  1.35513497e+00  7.24224754e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.05231344e+00  1.21751760e-02 -1.46109682e-08  3.81187983e-08  3.92222040e-04 
 8.25633355e-04  8.25633355e-04  1.34860422e+01  7.93499277e-01  1.12717818e-01  5.44079753e+00  1.34860433e+01  5.44079670e+00  1.35751337e+00  7.28351782e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.05455531e+00  1.42477942e-02 -1.11545448e-08  3.95244674e-08  3.66581815e-04 
 9.25633355e-04  9.25633355e-04  1.34860440e+01  8.08689998e-01  1.22052237e-01  6.08214643e+00  1.34860454e+01  6.08214553e+00  1.35925919e+00  7.31573961e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.05620093e+00  1.59805927e-02 -1.48178860e-08  4.10436920e-08  3.46243480e-04 
 1.02563335e-03  1.02563335e-03  1.34860464e+01  8.24414557e-01  1.32213697e-01  6.71749299e+00  1.34860475e+01  6.71749206e+00  1.36093329e+00  7.34681198e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.05777894e+00  1.78581966e-02 -1.10812488e-08  4.26773939e-08  3.27580514e-04 
 1.12563335e-03  1.12563335e-03  1.34860479e+01  8.41476168e-01  1.44213699e-01  7.34621020e+00  1.34860494e+01  7.34620922e+00  1.36241118e+00  7.37493816e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.05917200e+00  1.97116188e-02 -1.46355200e-08  4.44746574e-08  3.11104866e-04 
 1.22563335e-03  1.22563335e-03  1.34860500e+01  8.61986409e-01  1.60268107e-01  7.96767759e+00  1.34860510e+01  7.96767657e+00  1.36372225e+00  7.40049494e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.06040781e+00  2.15326159e-02 -1.06127171e-08  4.64509198e-08  2.96489075e-04 
 1.32563335e-03  1.32563335e-03  1.34860512e+01  8.95830205e-01  1.90072006e-01  8.58128184e+00  1.34860525e+01  8.58128077e+00  1.36487181e+00  7.42341931e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.06149139e+00  2.32892607e-02 -1.28252725e-08  4.86758487e-08  2.83673525e-04 
 1.42563335e-03  1.42563335e-03  1.34860553e+01  1.15144637e+00  4.43394509e-01  9.18641740e+00  1.34860534e+01  9.18641627e+00  1.36544943e+00  7.43513438e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.06203587e+00  2.43483825e-02  1.96336718e-08  5.11945628e-08  2.77234334e-04 
 1.52563335e-03  1.52563335e-03  1.34860558e+01  1.66432885e+00  9.55704336e-01  9.78248707e+00  1.34860535e+01  9.78248597e+00  1.36545010e+00  7.43514776e-01  1.34999861e+01  1.35000000e+01  0.00000000e+00  2.06203650e+00  2.46020621e-02  2.32566733e-08  5.41206218e-08  2.77227093e-04 
