 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.24355295e-05  1.24355295e-05  5.00000000e+00  4.27444224e+00  4.82443104e+00  1.45048851e+00  1.61899544e-01 -2.01673817e+00  4.82443104e+00  1.52316397e-02  9.03622517e-12 
 1.25854433e-05  1.25854433e-05  5.00000000e+00  4.25363969e+00  4.26651601e+00 -4.57260594e+00 -4.93821567e+00 -7.11683916e+00 -1.19863113e+00  3.40439170e-02  2.06935492e-02 
 1.26769361e-05  1.26769361e-05  5.00000000e+00  4.29989076e+00  4.27430973e+00 -3.23328643e+00  2.76241739e+00  5.83779915e-01  1.40643066e-01  5.69434580e-03  1.53098765e-02 
 1.27298805e-05  1.27298805e-05  5.00000000e+00  4.26518008e+00  4.25338384e+00 -8.40377291e+00 -1.61823931e+00 -3.79689224e+00 -5.02984927e+00  2.17904629e-02  3.43823548e-02 
 1.27815205e-05  1.27815205e-05  5.00000000e+00  4.29947303e+00  4.27415445e+00 -3.25832128e+00  2.76223774e+00  5.83569682e-01  1.15597258e-01  5.78705842e-03  1.54020637e-02 
 1.28345246e-05  1.28345246e-05  5.00000000e+00  4.26934385e+00  4.25606359e+00 -7.48743111e+00 -7.27026455e-01 -2.90570813e+00 -4.11351816e+00  1.85503922e-02  3.09984692e-02 
 1.29405327e-05  1.29405327e-05  5.00000000e+00  4.29988227e+00  4.27410041e+00 -3.26705612e+00  2.76207706e+00  5.83368068e-01  1.06846466e-01  5.69621541e-03  1.54342745e-02 
 1.31525490e-05  1.31525490e-05  5.00000000e+00  4.27165089e+00  4.25743058e+00 -7.05518041e+00 -3.05845869e-01 -2.48460592e+00 -3.68129890e+00  1.69674254e-02  2.94027067e-02 
 1.35514632e-05  1.35514632e-05  5.00000000e+00  4.29543897e+00  4.35068807e+00  7.70050354e-01  2.46978305e+00  2.91037906e-01  4.14390221e+00  6.76384033e-03  7.98937531e-04 
 1.40611838e-05  1.40611838e-05  5.00000000e+00  4.26658298e+00  4.25436832e+00 -8.05596844e+00 -1.30621601e+00 -3.48496158e+00 -4.68215914e+00  2.06400338e-02  3.30982708e-02 
 1.45507523e-05  1.45507523e-05  5.00000000e+00  4.29472555e+00  4.35166811e+00  7.80600526e-01  2.41808321e+00  2.39361847e-01  4.15437118e+00  6.95300013e-03  7.69231622e-04 
 1.52746100e-05  1.52746100e-05  5.00000000e+00  4.26565691e+00  4.25383939e+00 -8.24103531e+00 -1.51029715e+00 -3.68898795e+00 -4.86732499e+00  2.13924236e-02  3.37820921e-02 
 1.65702891e-05  1.65702891e-05  5.00000000e+00  4.29458774e+00  4.35195862e+00  7.83953215e-01  2.40793314e+00  2.29309400e-01  4.15755857e+00  6.99014603e-03  7.60639920e-04 
 1.89840015e-05  1.89840015e-05  5.00000000e+00  4.26554061e+00  4.25378512e+00 -8.25993774e+00 -1.53644365e+00 -3.71494427e+00 -4.88653114e+00  2.14888331e-02  3.38530378e-02 
 2.38114263e-05  2.38114263e-05  5.00000000e+00  4.29455363e+00  4.35198457e+00  7.84831249e-01  2.40541285e+00  2.27168153e-01  4.15784361e+00  6.99936963e-03  7.59877076e-04 
 3.34662759e-05  3.34662759e-05  5.00000000e+00  4.26551277e+00  4.25377909e+00 -8.26089156e+00 -1.54271965e+00 -3.72045418e+00 -4.88867086e+00  2.15119725e-02  3.38609368e-02 
 5.27759750e-05  5.27759750e-05  5.00000000e+00  4.29452670e+00  4.35177019e+00  7.85049155e-01  2.40342088e+00  2.26714971e-01  4.15568977e+00  7.00665996e-03  7.66201602e-04 
 9.13953733e-05  9.13953733e-05  5.00000000e+00  4.26550168e+00  4.25378225e+00 -8.25502983e+00 -1.54522226e+00 -3.71987403e+00 -4.88755142e+00  2.15212001e-02  3.38568015e-02 
 1.68634170e-04  1.68634170e-04  5.00000000e+00  4.29444246e+00  4.35086281e+00  7.85131768e-01  2.39717555e+00  2.26639818e-01  4.14628920e+00  7.02951780e-03  7.93558136e-04 
 3.23111763e-04  3.23111763e-04  5.00000000e+00  4.26547626e+00  4.25379900e+00 -8.23014782e+00 -1.55096003e+00 -3.71329777e+00 -4.88161689e+00  2.15423570e-02  3.38348841e-02 
 6.32066949e-04  6.32066949e-04  5.00000000e+00  4.29411491e+00  4.34749933e+00  7.85265917e-01  2.37270052e+00  2.26762020e-01  4.10855018e+00  7.11910480e-03  9.03762838e-04 
 1.00000000e-03  1.00000000e-03  5.00000000e+00  4.26540566e+00  4.25384835e+00 -8.15749681e+00 -1.56692893e+00 -3.69356764e+00 -4.86415170e+00  2.16012398e-02  3.37703824e-02 
 1.06179104e-03  1.06179104e-03  5.00000000e+00  4.30012069e+00  4.27391838e+00 -3.20862881e+00  2.96825635e+00  8.35132420e-01  7.98111827e-02  5.64394868e-03  1.55432851e-02 
 1.12406806e-03  1.12406806e-03  5.00000000e+00  4.30365914e+00  4.27393412e+00 -3.20369625e+00  2.97467629e+00  8.35023217e-01  7.98012397e-02  4.92231613e-03  1.55338255e-02 
 1.16792695e-03  1.16792695e-03  5.00000000e+00  4.30374365e+00  4.27393497e+00 -3.20007843e+00  2.97905479e+00  8.34815938e-01  7.99400889e-02  4.90625849e-03  1.55333144e-02 
 1.20982480e-03  1.20982480e-03  5.00000000e+00  4.30023435e+00  4.27393464e+00 -3.19681061e+00  2.98310537e+00  8.34505347e-01  7.98858779e-02  5.61920148e-03  1.55335140e-02 
 1.29362049e-03  1.29362049e-03  5.00000000e+00  4.30372926e+00  4.27393550e+00 -3.19003038e+00  2.99154926e+00  8.34268196e-01  8.00261397e-02  4.90898875e-03  1.55329976e-02 
