 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)        
 6.85600000e-02  6.85600000e-02  4.78474593e-10  1.19998951e+01  1.25849669e+00  4.95313346e-10  5.05203213e-10  1.20000000e+01 
 7.05600000e-02  7.05600000e-02  4.60371963e-10  1.19998951e+01  1.25849669e+00  4.76680029e-10  4.80067985e-10  1.20000000e+01 
 7.25600000e-02  7.25600000e-02  5.63743940e-10  1.19998951e+01  1.25849669e+00  5.79412518e-10  5.76078962e-10  1.20000000e+01 
 7.45600000e-02  7.45600000e-02  5.43497913e-10  1.19998951e+01  1.25849669e+00  5.58418423e-10  5.48167955e-10  1.20000000e+01 
 7.65600000e-02  7.65600000e-02  6.41720899e-10  1.19998951e+01  1.25849669e+00  6.55786092e-10  6.38466169e-10  1.20000000e+01 
 7.85600000e-02  7.85600000e-02  6.18161078e-10  1.19998951e+01  1.25849669e+00  6.31264818e-10  6.06751982e-10  1.20000000e+01 
 8.05600000e-02  8.05600000e-02  7.10020931e-10  1.19998951e+01  1.25849669e+00  7.22059301e-10  6.90277169e-10  1.20000000e+01 
 8.25600000e-02  8.25600000e-02  6.82042645e-10  1.19998951e+01  1.25849669e+00  6.92914170e-10  6.53818555e-10  1.20000000e+01 
 8.45600000e-02  8.45600000e-02  7.66652519e-10  1.19998951e+01  1.25849669e+00  7.76259057e-10  7.29854399e-10  1.20000000e+01 
 8.65600000e-02  8.65600000e-02  7.33108907e-10  1.19998951e+01  1.25849669e+00  7.41357642e-10  6.87683244e-10  1.20000000e+01 
 8.85600000e-02  8.85600000e-02  8.09369016e-10  1.19998951e+01  1.25849669e+00  8.16171353e-10  7.55318474e-10  1.20000000e+01 
 9.05600000e-02  9.05600000e-02  7.69382780e-10  1.19998951e+01  1.25849669e+00  7.74655673e-10  7.06751990e-10  1.20000000e+01 
 9.25600000e-02  9.25600000e-02  8.36416492e-10  1.19998951e+01  1.25849669e+00  8.40083780e-10  7.65309371e-10  1.20000000e+01 
 9.45600000e-02  9.45600000e-02  7.89077692e-10  1.19998951e+01  1.25849669e+00  7.91069654e-10  7.09642789e-10  1.20000000e+01 
 9.65600000e-02  9.65600000e-02  8.46313020e-10  1.19998951e+01  1.25849669e+00  8.46567483e-10  7.58758389e-10  1.20000000e+01 
 9.85600000e-02  9.85600000e-02  7.90983279e-10  1.19998951e+01  1.25849669e+00  7.89446286e-10  6.95562719e-10  1.20000000e+01 
 1.00560000e-01  1.00560000e-01  8.37538039e-10  1.19998951e+01  1.25849669e+00  8.34163849e-10  7.34567296e-10  1.20000000e+01 
 1.02560000e-01  1.02560000e-01  7.73549891e-10  1.19998951e+01  1.25849669e+00  7.68302755e-10  6.63391342e-10  1.20000000e+01 
 1.04560000e-01  1.04560000e-01  8.09252887e-10  1.19998951e+01  1.25849669e+00  8.02106381e-10  6.92326863e-10  1.20000000e+01 
 1.06560000e-01  1.06560000e-01  7.36321004e-10  1.19998951e+01  1.25849669e+00  7.27258920e-10  6.13093798e-10  1.20000000e+01 
 1.08560000e-01  1.08560000e-01  7.60905339e-10  1.19998951e+01  1.25849669e+00  7.49921902e-10  6.31900532e-10  1.20000000e+01 
 1.10560000e-01  1.10560000e-01  6.78844314e-10  1.19998951e+01  1.25849669e+00  6.65945299e-10  5.44628120e-10  1.20000000e+01 
 1.12560000e-01  1.12560000e-01  6.92271129e-10  1.19998951e+01  1.25849669e+00  6.77472967e-10  5.53464607e-10  1.20000000e+01 
 1.14560000e-01  1.14560000e-01  6.01168004e-10  1.19998951e+01  1.25849669e+00  5.84498672e-10  4.58431293e-10  1.20000000e+01 
 1.16560000e-01  1.16560000e-01  6.03721073e-10  1.19998951e+01  1.25849669e+00  5.85220095e-10  4.57763605e-10  1.20000000e+01 
 1.18560000e-01  1.18560000e-01  5.03943554e-10  1.19998951e+01  1.25849669e+00  4.83662221e-10  3.55508289e-10  1.20000000e+01 
 1.20560000e-01  1.20560000e-01  4.96216401e-10  1.19998951e+01  1.25849669e+00  4.74217998e-10  3.46089601e-10  1.20000000e+01 
 1.22560000e-01  1.22560000e-01  3.88447274e-10  1.19998951e+01  1.25849669e+00  3.64806629e-10  2.37441844e-10  1.20000000e+01 
 1.24560000e-01  1.24560000e-01  3.71046971e-10  1.19998951e+01  1.25849669e+00  3.45850459e-10  2.20012009e-10  1.20000000e+01 
 1.26560000e-01  1.26560000e-01  2.55957255e-10  1.19998951e+01  1.25849669e+00  2.29303465e-10  1.05762732e-10  1.20000000e+01 
 1.28560000e-01  1.28560000e-01  2.29872121e-10  1.19998951e+01  1.25849669e+00  2.01871853e-10  8.14164292e-11  1.20000000e+01 
 1.30560000e-01  1.30560000e-01  1.08667297e-10  1.19998951e+01  1.25849669e+00  7.94413424e-11 -3.71409570e-11  1.20000000e+01 
 1.32560000e-01  1.32560000e-01  7.52864437e-11  1.19998951e+01  1.25849669e+00  4.49660309e-11 -6.69471145e-11  1.20000000e+01 
 1.34560000e-01  1.34560000e-01 -5.08584286e-11  1.19998951e+01  1.25849669e+00 -8.21311907e-11 -1.88588034e-10  1.20000000e+01 
 1.36560000e-01  1.36560000e-01 -9.01940744e-11  1.19998951e+01  1.25849669e+00 -1.22266863e-10 -2.22482699e-10  1.20000000e+01 
 1.38560000e-01  1.38560000e-01 -2.19583685e-10  1.19998951e+01  1.25849669e+00 -2.52294852e-10 -3.45503404e-10  1.20000000e+01 
 1.40560000e-01  1.40560000e-01 -2.63232769e-10  1.19998951e+01  1.25849669e+00 -2.96412894e-10 -3.81858101e-10  1.20000000e+01 
 1.42560000e-01  1.42560000e-01 -3.94085653e-10  1.19998951e+01  1.25849669e+00 -4.27557101e-10 -5.04511766e-10  1.20000000e+01 
 1.44560000e-01  1.44560000e-01 -4.40070203e-10  1.19998951e+01  1.25849669e+00 -4.73647788e-10 -5.41406031e-10  1.20000000e+01 
 1.46560000e-01  1.46560000e-01 -5.70821168e-10  1.19998951e+01  1.25849669e+00 -6.04313488e-10 -6.62205624e-10  1.20000000e+01 
 1.48560000e-01  1.48560000e-01 -6.17220053e-10  1.19998951e+01  1.25849669e+00 -6.50431042e-10 -6.97818248e-10  1.20000000e+01 
 1.50560000e-01  1.50560000e-01 -7.45465467e-10  1.19998951e+01  1.25849669e+00 -7.78194842e-10 -8.14485590e-10  1.20000000e+01 
 1.52560000e-01  1.52560000e-01 -7.90182808e-10  1.19998951e+01  1.25849669e+00 -8.22226509e-10 -8.46869908e-10  1.20000000e+01 
 1.54560000e-01  1.54560000e-01 -9.14063492e-10  1.19998951e+01  1.25849669e+00 -9.45214351e-10 -9.57716129e-10  1.20000000e+01 
 1.56560000e-01  1.56560000e-01 -9.54863744e-10  1.19998951e+01  1.25849669e+00 -9.84914594e-10 -9.84829551e-10  1.20000000e+01 
 1.58560000e-01  1.58560000e-01 -1.07214460e-09  1.19998951e+01  1.25849669e+00 -1.10088849e-09 -1.08783627e-09  1.20000000e+01 
 1.60560000e-01  1.60560000e-01 -1.10684684e-09  1.19998951e+01  1.25849669e+00 -1.13407728e-09 -1.10773524e-09  1.20000000e+01 
 1.62560000e-01  1.62560000e-01 -1.21540467e-09  1.19998951e+01  1.25849669e+00 -1.24091781e-09 -1.20103572e-09  1.20000000e+01 
 1.64560000e-01  1.64560000e-01 -1.24180022e-09  1.19998951e+01  1.25849669e+00 -1.26539668e-09 -1.21178934e-09  1.20000000e+01 
 1.66560000e-01  1.66560000e-01 -1.33936329e-09  1.19998951e+01  1.25849669e+00 -1.36084832e-09 -1.29341049e-09  1.20000000e+01 
 1.68560000e-01  1.68560000e-01 -1.35540734e-09  1.19998951e+01  1.25849669e+00 -1.37459177e-09 -1.29329081e-09  1.20000000e+01 
 1.70560000e-01  1.70560000e-01 -1.44005474e-09  1.19998951e+01  1.25849669e+00 -1.45675760e-09 -1.36164413e-09  1.20000000e+01 
 1.72560000e-01  1.72560000e-01 -1.44380996e-09  1.19998951e+01  1.25849669e+00 -1.45785894e-09 -1.34905909e-09  1.20000000e+01 
 1.74560000e-01  1.74560000e-01 -1.51384794e-09  1.19998951e+01  1.25849669e+00 -1.52508028e-09 -1.40280854e-09  1.20000000e+01 
 1.76560000e-01  1.76560000e-01 -1.50345292e-09  1.19998951e+01  1.25849669e+00 -1.51171786e-09 -1.37626843e-09  1.20000000e+01 
 1.78560000e-01  1.78560000e-01 -1.55707491e-09  1.19998951e+01  1.25849669e+00 -1.56223434e-09 -1.41399159e-09  1.20000000e+01 
 1.80560000e-01  1.80560000e-01 -1.53097868e-09  1.19998951e+01  1.25849669e+00 -1.53290891e-09 -1.37233735e-09  1.20000000e+01 
 1.82560000e-01  1.82560000e-01 -1.56680247e-09  1.19998951e+01  1.25849669e+00 -1.56539381e-09 -1.39304923e-09  1.20000000e+01 
 1.84560000e-01  1.84560000e-01 -1.52386526e-09  1.19998951e+01  1.25849669e+00 -1.51902335e-09 -1.33554168e-09  1.20000000e+01 
 1.86560000e-01  1.86560000e-01 -1.54093649e-09  1.19998951e+01  1.25849669e+00 -1.53258495e-09 -1.33869049e-09  1.20000000e+01 
 1.88560000e-01  1.88560000e-01 -1.48024815e-09  1.19998951e+01  1.25849669e+00 -1.46832835e-09 -1.26482202e-09  1.20000000e+01 
 1.90560000e-01  1.90560000e-01 -1.47776658e-09  1.19998951e+01  1.25849669e+00 -1.46223811e-09 -1.25000632e-09  1.20000000e+01 
 1.92560000e-01  1.92560000e-01 -1.39866363e-09  1.19998951e+01  1.25849669e+00 -1.37950695e-09 -1.15950893e-09  1.20000000e+01 
 1.94560000e-01  1.94560000e-01 -1.37639167e-09  1.19998951e+01  1.25849669e+00 -1.35360678e-09 -1.12688081e-09  1.20000000e+01 
 1.96560000e-01  1.96560000e-01 -1.27898758e-09  1.19998951e+01  1.25849669e+00 -1.25259558e-09 -1.02024500e-09  1.20000000e+01 
 1.98560000e-01  1.98560000e-01 -1.23705823e-09  1.19998951e+01  1.25849669e+00 -1.20710197e-09 -9.70300729e-10  1.20000000e+01 
 2.00560000e-01  2.00560000e-01 -1.12134479e-09  1.19998951e+01  1.25849669e+00 -1.08788889e-09 -8.47868886e-10  1.20000000e+01 
 2.02560000e-01  2.02560000e-01 -1.06030407e-09  1.19998951e+01  1.25849669e+00 -1.02343556e-09 -7.81489096e-10  1.20000000e+01 
 2.04560000e-01  2.04560000e-01 -9.27307564e-10  1.19998951e+01  1.25849669e+00 -8.87135254e-10 -6.44600817e-10  1.20000000e+01 
 2.06560000e-01  2.06560000e-01 -8.48156878e-10  1.19998951e+01  1.25849669e+00 -8.04812661e-10 -5.63076918e-10  1.20000000e+01 
 2.08560000e-01  2.08560000e-01 -6.99065472e-10  1.19998951e+01  1.25849669e+00 -6.52703225e-10 -4.13186596e-10  1.20000000e+01 
 2.10560000e-01  2.10560000e-01 -6.03485484e-10  1.19998951e+01  1.25849669e+00 -5.54281288e-10 -3.18438165e-10  1.20000000e+01 
 2.12560000e-01  2.12560000e-01 -4.40054881e-10  1.19998951e+01  1.25849669e+00 -3.88206578e-10 -1.57510227e-10  1.20000000e+01 
 2.14560000e-01  2.14560000e-01 -3.29942962e-10  1.19998951e+01  1.25849669e+00 -2.75669487e-10 -5.16127141e-11  1.20000000e+01 
 2.16560000e-01  2.16560000e-01 -1.54308122e-10  1.19998951e+01  1.25849669e+00 -9.78492842e-11  1.18071997e-10  1.20000000e+01 
 2.18560000e-01  2.18560000e-01 -3.20803384e-11  1.19998951e+01  1.25849669e+00  2.63038480e-11  2.32591724e-10  1.20000000e+01 
 2.20560000e-01  2.20560000e-01  1.53063562e-10  1.19998951e+01  1.25849669e+00  2.13094209e-10  4.08264977e-10  1.20000000e+01 
 2.22560000e-01  2.22560000e-01  2.84591684e-10  1.19998951e+01  1.25849669e+00  3.45971252e-10  5.28555644e-10  1.20000000e+01 
 2.24560000e-01  2.24560000e-01  4.76346296e-10  1.19998951e+01  1.25849669e+00  5.38761036e-10  7.07321313e-10  1.20000000e+01 
 2.26560000e-01  2.26560000e-01  6.13890938e-10  1.19998951e+01  1.25849669e+00  6.77011780e-10  8.30143954e-10  1.20000000e+01 
 2.28560000e-01  2.28560000e-01  8.08677569e-10  1.19998951e+01  1.25849669e+00  8.72161232e-10  1.00851261e-09  1.20000000e+01 
 2.30560000e-01  2.30560000e-01  9.48716439e-10  1.19998951e+01  1.25849669e+00  1.01220721e-09  1.13047571e-09  1.20000000e+01 
 2.32560000e-01  2.32560000e-01  1.14301169e-09  1.19998951e+01  1.25849669e+00  1.20614230e-09  1.30509514e-09  1.20000000e+01 
 2.34560000e-01  2.34560000e-01  1.28164457e-09  1.19998951e+01  1.25849669e+00  1.34403844e-09  1.42251433e-09  1.20000000e+01 
 2.36560000e-01  2.36560000e-01  1.47155244e-09  1.19998951e+01  1.25849669e+00  1.53282742e-09  1.58975011e-09  1.20000000e+01 
 2.38560000e-01  2.38560000e-01  1.60475455e-09  1.19998951e+01  1.25849669e+00  1.66452185e-09  1.69890457e-09  1.20000000e+01 
 2.40560000e-01  2.40560000e-01  1.78613369e-09  1.19998951e+01  1.25849669e+00  1.84400140e-09  1.85496174e-09  1.20000000e+01 
 2.42560000e-01  2.42560000e-01  1.90998728e-09  1.19998951e+01  1.25849669e+00  1.96556305e-09  1.95232186e-09  1.20000000e+01 
 2.44560000e-01  2.44560000e-01  2.07873296e-09  1.19998951e+01  1.25849669e+00  2.13162576e-09  2.09352402e-09  1.20000000e+01 
 2.46560000e-01  2.46560000e-01  2.18882024e-09  1.19998951e+01  1.25849669e+00  2.23864283e-09  2.17514273e-09  1.20000000e+01 
 2.48560000e-01  2.48560000e-01  2.34086861e-09  1.19998951e+01  1.25849669e+00  2.38723930e-09  2.29793695e-09  1.20000000e+01 
 2.50560000e-01  2.50560000e-01  2.43324316e-09  1.19998951e+01  1.25849669e+00  2.47578846e-09  2.36041364e-09  1.20000000e+01 
 2.52560000e-01  2.52560000e-01  2.56461119e-09  1.19998951e+01  1.25849669e+00  2.60296851e-09  2.46139686e-09  1.20000000e+01 
 2.54560000e-01  2.54560000e-01  2.63550515e-09  1.19998951e+01  1.25849669e+00  2.66932498e-09  2.50157561e-09  1.20000000e+01 
 2.56560000e-01  2.56560000e-01  2.74258816e-09  1.19998951e+01  1.25849669e+00  2.77153722e-09  2.57778310e-09  1.20000000e+01 
 2.58560000e-01  2.58560000e-01  2.78831358e-09  1.19998951e+01  1.25849669e+00  2.81207635e-09  2.59264388e-09  1.20000000e+01 
 2.60560000e-01  2.60560000e-01  2.86736612e-09  1.19998951e+01  1.25849669e+00  2.88564728e-09  2.64102562e-09  1.20000000e+01 
 2.62560000e-01  2.62560000e-01  2.88461566e-09  1.19998951e+01  1.25849669e+00  2.89714319e-09  2.62797828e-09  1.20000000e+01 
 2.64560000e-01  2.64560000e-01  2.93294211e-09  1.19998951e+01  1.25849669e+00  2.93946845e-09  2.64657185e-09  1.20000000e+01 
 2.66560000e-01  2.66560000e-01  2.91900348e-09  1.19998951e+01  1.25849669e+00  2.91930768e-09  2.60364930e-09  1.20000000e+01 
 2.68560000e-01  2.68560000e-01  2.93403368e-09  1.19998951e+01  1.25849669e+00  2.92792457e-09  2.59063859e-09  1.20000000e+01 
 2.70560000e-01  2.70560000e-01  2.88679791e-09  1.19998951e+01  1.25849669e+00  2.87411539e-09  2.51649190e-09  1.20000000e+01 
 2.72560000e-01  2.72560000e-01  2.86675217e-09  1.19998951e+01  1.25849669e+00  2.84736990e-09  2.47085907e-09  1.20000000e+01 
 2.74560000e-01  2.74560000e-01  2.78460588e-09  1.19998951e+01  1.25849669e+00  2.75843193e-09  2.36463538e-09  1.20000000e+01 
 2.76560000e-01  2.76560000e-01  2.72825340e-09  1.19998951e+01  1.25849669e+00  2.69523226e-09  2.28590258e-09  1.20000000e+01 
 2.78560000e-01  2.78560000e-01  2.61048094e-09  1.19998951e+01  1.25849669e+00  2.57059507e-09  2.14762541e-09  1.20000000e+01 
 2.80560000e-01  2.80560000e-01  2.51756327e-09  1.19998951e+01  1.25849669e+00  2.47083443e-09  2.03625694e-09  1.20000000e+01 
 2.82560000e-01  2.82560000e-01  2.36412312e-09  1.19998951e+01  1.25849669e+00  2.31061281e-09  1.86658644e-09  1.20000000e+01 
 2.84560000e-01  2.84560000e-01  2.23498464e-09  1.19998951e+01  1.25849669e+00  2.17479634e-09  1.72360282e-09  1.20000000e+01 
 2.86560000e-01  2.86560000e-01  2.04674055e-09  1.19998951e+01  1.25849669e+00  1.98001904e-09  1.52404822e-09  1.20000000e+01 
 2.88560000e-01  2.88560000e-01  1.88274396e-09  1.19998951e+01  1.25849669e+00  1.80967596e-09  1.35142164e-09  1.20000000e+01 
 2.90560000e-01  2.90560000e-01  1.66154268e-09  1.19998951e+01  1.25849669e+00  1.58235758e-09  1.12439924e-09  1.20000000e+01 
 2.92560000e-01  2.92560000e-01  1.46490020e-09  1.19998951e+01  1.25849669e+00  1.37987000e-09  9.24866850e-10  1.20000000e+01 
 2.94560000e-01  2.94560000e-01  1.21326527e-09  1.19998951e+01  1.25849669e+00  1.12270371e-09  6.73376244e-10  1.20000000e+01 
 2.96560000e-01  2.96560000e-01  9.87127047e-10  1.19998951e+01  1.25849669e+00  8.91389185e-10  4.50510074e-10  1.20000000e+01 
 2.98560000e-01  2.98560000e-01  7.08580306e-10  1.19998951e+01  1.25849669e+00  6.08062711e-10  1.78437931e-10  1.20000000e+01 
 3.00560000e-01  3.00560000e-01  4.56894522e-10  1.19998951e+01  1.25849669e+00  3.52033291e-10 -6.35085318e-11  1.20000000e+01 
 3.02560000e-01  3.02560000e-01  1.55840230e-10  1.19998951e+01  1.25849669e+00  4.71092054e-11 -3.51518592e-10  1.20000000e+01 
 3.04560000e-01  3.04560000e-01 -1.16659127e-10  1.19998951e+01  1.25849669e+00 -2.28749242e-10 -6.07640382e-10  1.20000000e+01 
 3.06560000e-01  3.06560000e-01 -4.35054881e-10  1.19998951e+01  1.25849669e+00 -5.49957413e-10 -9.06320130e-10  1.20000000e+01 
 3.08560000e-01  3.08560000e-01 -7.22781612e-10  1.19998951e+01  1.25849669e+00 -8.39917691e-10 -1.17100307e-09  1.20000000e+01 
 3.10560000e-01  3.10560000e-01 -1.05248299e-09  1.19998951e+01  1.25849669e+00 -1.17124332e-09 -1.47436752e-09  1.20000000e+01 
 3.12560000e-01  3.12560000e-01 -1.34912415e-09  1.19998951e+01  1.25849669e+00 -1.46887147e-09 -1.74142833e-09  1.20000000e+01 
 3.14560000e-01  3.14560000e-01 -1.68363701e-09  1.19998951e+01  1.25849669e+00 -1.80370829e-09 -2.04319117e-09  1.20000000e+01 
 3.16560000e-01  3.16560000e-01 -1.98228434e-09  1.19998951e+01  1.25849669e+00 -2.10199524e-09 -2.30601072e-09  1.20000000e+01 
 3.18560000e-01  3.18560000e-01 -2.31457098e-09  1.19998951e+01  1.25849668e+00 -2.43321829e-09 -2.59950772e-09  1.20000000e+01 
 3.20560000e-01  3.20560000e-01 -2.60794786e-09  1.19998951e+01  1.25849668e+00 -2.72481282e-09 -2.85126389e-09  1.20000000e+01 
 3.22560000e-01  3.22560000e-01 -2.93041458e-09  1.19998951e+01  1.25849668e+00 -3.04476666e-09 -3.12943582e-09  1.20000000e+01 
 3.24560000e-01  3.24560000e-01 -3.21095039e-09  1.19998951e+01  1.25849668e+00 -3.32205086e-09 -3.36317485e-09  1.20000000e+01 
 3.26560000e-01  3.26560000e-01 -3.51594354e-09  1.19998951e+01  1.25849668e+00 -3.62305097e-09 -3.61906594e-09  1.20000000e+01 
 3.28560000e-01  3.28560000e-01 -3.77575793e-09  1.19998951e+01  1.25849668e+00 -3.87813093e-09 -3.82768439e-09  1.20000000e+01 
 3.30560000e-01  3.30560000e-01 -4.05544287e-09  1.19998951e+01  1.25849668e+00 -4.15234536e-09 -4.05431488e-09  1.20000000e+01 
 3.32560000e-01  3.32560000e-01 -4.28669211e-09  1.19998951e+01  1.25849668e+00 -4.37739689e-09 -4.23089852e-09  1.20000000e+01 
 3.34560000e-01  3.34560000e-01 -4.53334881e-09  1.19998951e+01  1.25849668e+00 -4.61714267e-09 -4.42154802e-09  1.20000000e+01 
