model,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
gpt-4.1-mini,16,15.625,17.0,2.619,0.744,0.81,0.125,2.438,3.0,1.116,2.5,2.0,0.707,28.27,23.74,13.48,7290.625,6480.5,2755.935,1782.25,1756.0,247.887,9072.875,7971.0,2895.756,0.005768,0.005281,0.001356,30.97,31.15,3.88,11402.312,10068.5,2828.603,0.091446,0.08489,0.015275,0.562,0.812,2.375,2.562,2.062,2.188,1.875,2.812,1.75
gpt-4.1-nano,16,11.625,12.0,1.833,0.554,0.571,0.087,3.312,3.0,0.583,3.062,3.0,0.827,17.29,15.45,5.56,7721.125,7341.5,2920.692,1435.0,1406.5,128.894,9156.125,8639.0,2934.626,0.001346,0.001253,0.000301,68.63,30.73,147.23,11094.562,9694.0,2700.638,0.090898,0.084945,0.01478,0.25,0.75,1.938,2.0,1.188,1.625,1.188,2.375,1.312
gpt-4o-mini,16,12.188,12.5,1.704,0.58,0.595,0.081,3.25,3.0,0.661,2.25,2.0,0.559,21.68,19.19,7.37,19211.125,20300.5,13055.995,982.125,986.5,77.385,20193.25,21364.5,13054.288,0.003471,0.003677,0.001958,30.93,30.71,3.15,10600.875,9222.5,2659.499,0.087407,0.08077,0.014157,0.438,0.688,1.938,2.0,1.375,1.75,1.375,2.125,1.625
gpt-5-mini,16,17.438,18.0,2.263,0.83,0.857,0.108,1.562,2.0,1.223,1.875,2.0,0.696,38.07,38.77,6.13,7074.125,6101.0,2695.592,2965.0,2936.5,349.79,10039.125,9015.5,2932.858,0.007699,0.007386,0.001245,31.17,30.78,5.1,11841.812,10236.5,2817.166,0.094007,0.086135,0.016854,0.688,1.0,2.812,2.875,2.625,2.312,1.938,2.938,1.938
gpt-5-nano,16,13.188,14.0,2.555,0.628,0.667,0.122,3.188,3.0,0.726,3.5,3.0,1.061,27.01,26.1,4.77,7227.625,6355.5,2736.973,3288.375,3264.5,252.247,10516.0,9450.5,2838.215,0.001677,0.001597,0.000197,34.05,33.22,4.36,12451.938,10991.5,2784.975,0.099927,0.092795,0.014941,0.312,0.938,1.938,2.188,1.75,1.938,1.5,2.625,1.25
gpt-5.4,16,18.938,19.0,1.6,0.902,0.905,0.076,0.875,0.5,0.992,0.875,0.5,0.927,52.92,53.37,8.63,7074.125,6101.0,2695.592,3415.375,3428.0,438.307,10489.5,9516.5,2787.979,0.068916,0.069796,0.010022,28.12,28.95,5.96,12227.625,10881.5,2631.614,0.092694,0.088495,0.015378,0.812,0.938,2.812,2.938,2.938,2.5,2.375,3.0,2.375
gpt-5.4-mini,16,17.375,19.0,3.389,0.827,0.905,0.161,1.125,1.0,1.111,1.312,2.0,0.845,18.29,16.84,3.82,7074.125,6101.0,2695.592,2401.5,2241.5,443.379,9475.625,8465.5,2930.946,0.016112,0.015132,0.003446,27.86,28.52,2.83,10991.938,9563.5,2662.924,0.086494,0.081155,0.014363,0.75,0.812,2.625,2.75,2.5,2.375,2.188,2.875,2.062
gpt-5.4-nano,16,14.625,14.5,1.996,0.696,0.69,0.095,2.812,3.0,0.882,2.375,2.5,0.696,20.27,20.62,2.72,7074.125,6101.0,2695.592,2835.438,2819.5,374.765,9909.562,8820.0,2722.305,0.004959,0.004808,0.000715,33.42,32.98,4.23,12040.938,10685.5,2616.058,0.097367,0.09066,0.013541,0.438,0.875,2.312,2.625,1.812,1.812,1.5,2.938,1.625
