model,input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
gpt-4.1-mini,JSON + datasheet,8,15.625,17.0,2.736,0.744,0.81,0.13,2.375,2.5,1.111,2.375,2.0,0.696,32.21,26.51,15.34,6419.625,5087.5,2614.677,1901.875,1803.5,239.341,8321.5,6987.0,2796.533,0.005611,0.005074,0.001354,31.45,31.59,1.92,11500.25,10068.5,2831.665,0.091432,0.08299,0.015138,0.5,0.75,2.375,2.625,2.25,2.125,1.75,2.625,1.875
gpt-4.1-mini,JSON + immagine + datasheet,8,15.625,16.5,2.497,0.744,0.786,0.119,2.5,3.0,1.118,2.625,2.5,0.696,24.33,21.32,9.85,8161.625,6829.5,2614.677,1662.625,1643.5,192.331,9824.25,8485.5,2796.619,0.005925,0.005381,0.00134,30.49,28.17,5.1,11304.375,10144.0,2822.142,0.091459,0.087675,0.01541,0.625,0.875,2.375,2.5,1.875,2.25,2.0,3.0,1.625
gpt-4.1-nano,JSON + datasheet,8,11.125,11.0,1.965,0.53,0.524,0.094,3.375,3.0,0.484,2.75,2.5,0.968,17.0,17.12,3.33,6419.625,5087.5,2614.677,1494.75,1489.5,112.29,7914.375,6534.0,2683.048,0.00124,0.001117,0.00029,30.18,29.53,2.41,11104.625,9659.0,2741.773,0.089745,0.08089,0.015281,0.125,0.75,1.875,2.125,1.0,1.5,1.125,2.25,1.25
gpt-4.1-nano,JSON + immagine + datasheet,8,12.125,12.0,1.536,0.577,0.571,0.073,3.25,3.0,0.661,3.375,3.0,0.484,17.57,14.66,7.1,9022.625,7690.5,2614.677,1375.25,1370.0,116.097,10397.875,9156.5,2634.658,0.001452,0.00135,0.000272,107.08,32.18,200.97,11084.5,9850.0,2658.829,0.092051,0.086038,0.014167,0.375,0.75,2.0,1.875,1.375,1.75,1.25,2.5,1.375
gpt-4o-mini,JSON + datasheet,8,12.0,12.5,1.414,0.571,0.595,0.067,3.25,3.0,0.433,2.125,2.0,0.599,20.86,17.31,8.54,6419.625,5087.5,2614.677,988.0,986.5,63.006,7407.625,6074.5,2651.194,0.001556,0.001355,0.000415,30.56,29.98,3.33,10591.625,9209.5,2656.549,0.087021,0.081793,0.013568,0.375,0.625,1.875,2.0,1.375,1.75,1.375,2.125,1.5
gpt-4o-mini,JSON + immagine + datasheet,8,12.375,12.5,1.932,0.589,0.595,0.092,3.25,3.5,0.829,2.375,2.0,0.484,22.49,20.84,5.88,32002.625,30670.5,2614.677,976.25,997.5,89.097,32978.875,31673.5,2618.325,0.005386,0.005202,0.000397,31.3,30.71,2.91,10610.125,9222.5,2662.415,0.087794,0.07918,0.014713,0.5,0.75,2.0,2.0,1.375,1.75,1.375,2.125,1.75
gpt-5-mini,JSON + datasheet,8,17.75,18.0,1.299,0.845,0.857,0.062,1.5,2.0,1.0,1.875,2.0,0.331,36.27,37.87,4.8,6418.625,5086.5,2614.677,2935.25,2909.5,325.265,9353.875,7975.5,2799.332,0.007475,0.00724,0.001139,32.13,31.23,6.47,11813.625,10204.5,2747.176,0.094702,0.085402,0.01609,0.625,1.0,2.75,3.0,2.75,2.25,2.0,3.0,2.0
gpt-5-mini,JSON + immagine + datasheet,8,17.125,18.0,2.891,0.815,0.857,0.138,1.625,2.0,1.409,1.875,2.0,0.927,39.88,41.78,6.75,7729.625,6397.5,2614.677,2994.75,2997.0,370.321,10724.375,9209.5,2903.089,0.007922,0.007492,0.001305,30.22,30.31,2.89,11870.0,10372.0,2885.183,0.093313,0.086135,0.017557,0.75,1.0,2.875,2.75,2.5,2.375,1.875,2.875,1.875
gpt-5-nano,JSON + datasheet,8,13.375,14.5,2.643,0.637,0.69,0.126,3.125,3.0,0.599,3.625,3.0,0.992,28.85,30.57,3.67,6418.625,5086.5,2614.677,3257.375,3216.0,200.839,9676.0,8286.0,2665.868,0.001624,0.001568,0.000168,35.08,34.26,4.59,12368.0,10836.0,2726.176,0.099246,0.093837,0.014237,0.25,1.0,1.875,2.125,2.0,1.875,1.5,2.625,1.375
gpt-5-nano,JSON + immagine + datasheet,8,13.0,13.5,2.449,0.619,0.643,0.117,3.25,3.0,0.829,3.375,3.0,1.111,25.17,24.81,5.02,8036.625,6704.5,2614.677,3319.375,3417.5,291.545,11356.0,9904.0,2755.517,0.00173,0.001672,0.00021,33.03,32.83,3.85,12535.875,11011.5,2840.078,0.100608,0.09167,0.015584,0.375,0.875,2.0,2.25,1.5,2.0,1.5,2.625,1.125
