circuit,N,model_cost_usd_total,judge_cost_usd_total,total_cost_usd
b03,16,0.207055,1.328345,1.5354
b06,16,0.190292,1.35454,1.544832
c01,16,0.195204,1.3188,1.514004
c02,16,0.20271,1.3379,1.540611
c05,16,0.263341,1.8354,2.098741
c08,16,0.264971,1.889245,2.154216
c13,16,0.239186,1.50393,1.743116
c17,16,0.196402,1.2757,1.472102
