model,N,model_cost_usd_total,judge_cost_usd_total,total_cost_usd
gpt-4.1-mini,16,0.092286,1.463135,1.555421
gpt-4.1-nano,16,0.021538,1.454365,1.475903
gpt-4o-mini,16,0.055535,1.39852,1.454055
gpt-5-mini,16,0.123176,1.50412,1.627296
gpt-5-nano,16,0.026828,1.59883,1.625658
gpt-5.4,16,1.102655,1.48311,2.585765
gpt-5.4-mini,16,0.257798,1.383905,1.641703
gpt-5.4-nano,16,0.079346,1.557875,1.637221
