input_type,N,total_score_mean,total_score_median,total_score_std,normalized_score_mean,normalized_score_median,normalized_score_std,major_errors_n_mean,major_errors_n_median,major_errors_n_std,hallucinations_n_mean,hallucinations_n_median,hallucinations_n_std,model_latency_seconds_mean,model_latency_seconds_median,model_latency_seconds_std,model_input_tokens_mean,model_input_tokens_median,model_input_tokens_std,model_output_tokens_mean,model_output_tokens_median,model_output_tokens_std,model_total_tokens_mean,model_total_tokens_median,model_total_tokens_std,model_cost_usd_mean,model_cost_usd_median,model_cost_usd_std,judge_latency_seconds_mean,judge_latency_seconds_median,judge_latency_seconds_std,judge_total_tokens_mean,judge_total_tokens_median,judge_total_tokens_std,judge_cost_usd_mean,judge_cost_usd_median,judge_cost_usd_std,top1_correct_rate,top3_contains_correct_rate,circuit_understanding_mean,datasheet_use_mean,json_image_use_mean,diagnostic_accuracy_mean,cause_priority_mean,practical_checks_mean,hallucination_absence_mean
JSON + datasheet,64,14.938,15.0,3.418,0.711,0.714,0.163,2.344,3.0,1.228,2.094,2.0,1.155,27.81,23.57,12.39,6419.0,5087.0,2614.677,2409.938,2653.5,868.947,8828.938,7837.5,2878.406,0.012882,0.005003,0.020558,31.46,31.0,4.79,11576.188,10464.5,2772.359,0.092461,0.086523,0.01563,0.453,0.844,2.281,2.5,2.109,1.969,1.656,2.656,1.766
JSON + immagine + datasheet,64,15.312,15.0,3.386,0.729,0.714,0.161,2.297,3.0,1.411,2.344,2.0,1.107,28.14,22.82,14.51,11017.75,7341.5,8361.589,2366.328,2356.5,925.502,13384.078,9772.0,7900.529,0.014605,0.005356,0.022668,39.83,30.34,75.59,11586.812,10563.0,2793.228,0.092599,0.087333,0.015453,0.609,0.859,2.406,2.484,1.953,2.156,1.828,2.766,1.719
