time,v(H1_GATE),v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),@ddiode7_1[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id]
0.0540713343,11.9870666,-20.3089449,0.0171003955,-20.316779,11.9871622,-20.3190783,1.26299009,0.639819496,11.9999872,12.0,0.0,1.39219698,-2.278399e-05,-9.55612954e-07,0.000104515661,0.000290788354
0.0541713343,11.9870468,-20.5062095,0.0192129379,-20.4984067,11.9869558,-20.4961064,1.26366206,0.641192721,11.999987,12.0,0.0,1.39285837,2.27344121e-05,9.10481907e-07,-0.000104559023,0.000283010355
0.0542713343,11.987067,-20.6519744,0.0171006811,-20.659805,11.9871621,-20.6621044,1.26299018,0.63981968,11.9999872,12.0,0.0,1.39219707,-2.27779085e-05,-9.51128538e-07,0.000104516613,0.000290787272
0.0543713343,11.9870466,-20.8086166,0.0192128661,-20.8008146,11.9869557,-20.7985144,1.26366203,0.641192671,11.999987,12.0,0.0,1.39285834,2.27328457e-05,9.09576692e-07,-0.000104556405,0.000283010585
0.0544713343,11.9870674,-20.9134692,0.0171009647,-20.9212963,11.987162,-20.9235957,1.26299027,0.639819864,11.9999872,12.0,0.0,1.39219716,-2.27718695e-05,-9.4665535e-07,0.00010451757,0.000290786205
0.0545713343,11.9870465,-21.0289324,0.0192127949,-21.0211312,11.9869556,-21.018831,1.26366201,0.641192623,11.999987,12.0,0.0,1.39285831,2.27312905e-05,9.08684233e-07,-0.000104553789,0.000283010821
0.0546713343,11.9870678,-21.0923971,0.0171012469,-21.1002207,11.987162,-21.1025201,1.26299036,0.639820048,11.9999872,12.0,0.0,1.39219725,-2.27658609e-05,-9.42190382e-07,0.000104518532,0.000290785152
0.0547713343,11.9870464,-21.1662873,0.019212724,-21.1584869,11.9869556,-21.1561868,1.26366198,0.641192576,11.999987,12.0,0.0,1.39285829,2.27297434e-05,9.07800748e-07,-0.000104551173,0.000283011065
0.0548713343,11.9870682,-21.188052,0.0171015283,-21.1958722,11.987162,-21.1981717,1.26299045,0.639820232,11.9999872,12.0,0.0,1.39219734,-2.27598712e-05,-9.37730751e-07,0.000104519496,0.00029078411
0.0549713343,11.9870463,-21.2201394,0.0192126533,-21.2123398,11.9869556,-21.2100397,1.26366196,0.641192529,11.999987,12.0,0.0,1.39285827,2.27282011e-05,9.06922464e-07,-0.000104548558,0.000283011315
0.0550713343,11.9870687,-21.2000566,0.0171018093,-21.2078733,11.987162,-21.2101728,1.26299054,0.639820416,11.9999872,12.0,0.0,1.39219743,-2.27538895e-05,-9.33273642e-07,0.000104520462,0.000290783077
0.0551713343,11.9870462,-21.1902761,0.0192125826,-21.1824773,11.9869556,-21.1801773,1.26366194,0.641192483,11.999987,12.0,0.0,1.39285824,2.27266603e-05,9.0604562e-07,-0.000104545944,0.000283011573
0.0552713343,11.9870691,-21.1283633,0.0171020904,-21.1361766,11.987162,-21.1384761,1.26299064,0.639820601,11.9999872,12.0,0.0,1.39219752,-2.27479048e-05,-9.28816278e-07,0.000104521426,0.000290782052
0.0553713343,11.9870461,-21.0768152,0.0192125119,-21.0690172,11.9869556,-21.0667172,1.26366191,0.641192438,11.999987,12.0,0.0,1.39285822,2.27251178e-05,9.05166459e-07,-0.000104543328,0.00028301184
0.0554713343,11.9870696,-20.9732553,0.0171023723,-20.9810651,11.9871621,-20.9833646,1.26299073,0.639820787,11.9999872,12.0,0.0,1.39219761,-2.27419061e-05,-9.24355867e-07,0.000104522389,0.000290781033
