 time            time            v(H1_GATE)      v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)         @ddiode7_1[id]  @ddiode7_3[id]  @ddiode7_4[id]  @ddiode7_5[id] 
 8.28744785e-04  8.28744785e-04  1.19870909e+01  3.41860463e+00  2.77940038e+00  5.46083688e+00  1.19870901e+01  5.46083595e+00  1.28382717e+00  7.02702352e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278214e+00  6.18875431e-03  1.00169823e-08  4.46585365e-08  5.72257855e-05 
 9.28744785e-04  9.28744785e-04  1.19870964e+01  4.03559305e+00  3.39560355e+00  6.10200854e+00  1.19870903e+01  6.10200756e+00  1.28382719e+00  7.02702362e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278217e+00  6.26261526e-03  6.33572071e-08  4.67869076e-08  5.72258081e-05 
 1.02874479e-03  1.02874479e-03  1.19870915e+01  4.64680522e+00  4.00642662e+00  6.73715825e+00  1.19870904e+01  6.73715723e+00  1.28382720e+00  7.02702368e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278218e+00  6.33459130e-03  1.25784773e-08  4.91594931e-08  5.72258193e-05 
 1.12874479e-03  1.12874479e-03  1.19870970e+01  5.25159878e+00  4.61049384e+00  7.36565920e+00  1.19870906e+01  7.36565813e+00  1.28382722e+00  7.02702378e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278220e+00  6.40688991e-03  6.60864905e-08  5.18613070e-08  5.72258416e-05 
 1.22874479e-03  1.22874479e-03  1.19870920e+01  5.84941855e+00  5.20791805e+00  7.98689114e+00  1.19870907e+01  7.98689001e+00  1.28382723e+00  7.02702383e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278221e+00  6.47738682e-03  1.55345759e-08  5.49733248e-08  5.72258525e-05 
 1.32874479e-03  1.32874479e-03  1.19870976e+01  6.43963063e+00  5.79745746e+00  8.60024098e+00  1.19870909e+01  8.60023978e+00  1.28382725e+00  7.02702393e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278223e+00  6.54785956e-03  6.92943928e-08  5.86511476e-08  5.72258746e-05 
 1.42874479e-03  1.42874479e-03  1.19870926e+01  7.02169854e+00  6.37912961e+00  9.20510341e+00  1.19870910e+01  9.20510214e+00  1.28382726e+00  7.02702398e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278224e+00  6.61657746e-03  1.90813819e-08  6.30903587e-08  5.72258852e-05 
 1.52874479e-03  1.52874479e-03  1.19870982e+01  7.59500001e+00  6.95180779e+00  9.80088153e+00  1.19870912e+01  9.80088016e+00  1.28382728e+00  7.02702409e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278227e+00  6.68496453e-03  7.32357617e-08  6.86425492e-08  5.72259070e-05 
 1.62874479e-03  1.62874479e-03  1.19870933e+01  8.15901878e+00  7.51543579e+00  1.03869874e+01  1.19870913e+01  1.03869859e+01  1.28382729e+00  7.02702413e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278228e+00  6.75161428e-03  2.35573042e-08  7.58663069e-08  5.72259174e-05 
 1.72874479e-03  1.72874479e-03  1.19870990e+01  8.71314716e+00  8.06898680e+00  1.09628425e+01  1.19870915e+01  1.09628408e+01  1.28382731e+00  7.02702424e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278230e+00  6.81766111e-03  7.83699012e-08  8.58563845e-08  5.72259390e-05 
 1.82874479e-03  1.82874479e-03  1.19870941e+01  9.25689073e+00  8.61234887e+00  1.15278786e+01  1.19870916e+01  1.15278767e+01  1.28382732e+00  7.02702428e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278231e+00  6.88196488e-03  2.96046624e-08  1.00950108e-07  5.72259494e-05 
 1.92874479e-03  1.92874479e-03  1.19870998e+01  9.78965912e+00  9.14458298e+00  1.20815381e+01  1.19870918e+01  1.20815359e+01  1.28382734e+00  7.02702439e-01  1.19999871e+01  1.20000000e+01  0.00000000e+00  1.41278233e+00  6.94542357e-03  8.56253011e-08  2.26937212e-07  5.72259714e-05 
 2.02874479e-03  2.02874479e-03  1.19892804e+01  1.03022689e+01  9.65664544e+00  1.26232746e+01  1.19892769e+01  1.25751982e+01  1.28404114e+00  7.02809340e-01  1.19999893e+01  1.20000000e+01  0.00000000e+00  1.41301989e+00  7.03331527e-03  3.52997784e-08  2.18578775e-03  5.74629794e-05 
 2.12874479e-03  2.12874479e-03  1.20074445e+01  1.07374373e+01  1.00898183e+01  1.31525534e+01  1.20074375e+01  1.27049114e+01  1.28581499e+00  7.03696265e-01  1.20000074e+01  1.20000000e+01  0.00000000e+00  1.41499117e+00  7.31846450e-03  6.92552118e-08  2.03699723e-02  5.94675958e-05 
 2.22874479e-03  2.22874479e-03  1.20282555e+01  1.11456649e+01  1.04958931e+01  1.36688522e+01  1.20282517e+01  1.27632590e+01  1.28784108e+00  7.04709311e-01  1.20000282e+01  1.20000000e+01  0.00000000e+00  1.41724362e+00  7.64598508e-03  3.73260839e-08  4.12010757e-02  6.18429652e-05 
 2.32874479e-03  2.32874479e-03  1.20491644e+01  1.15365597e+01  1.08846056e+01  1.41716616e+01  1.20491567e+01  1.28061211e+01  1.28986834e+00  7.05722939e-01  1.20000491e+01  1.20000000e+01  0.00000000e+00  1.41949832e+00  7.98508089e-03  7.68882383e-08  6.25210683e-02  6.43146638e-05 
 2.42874479e-03  2.42874479e-03  1.20697282e+01  1.19115881e+01  1.12575465e+01  1.46604852e+01  1.20697232e+01  1.28424433e+01  1.29185506e+00  7.06716298e-01  1.20000697e+01  1.20000000e+01  0.00000000e+00  1.42170889e+00  8.32994205e-03  4.94251561e-08  8.27153090e-02  6.68327548e-05 
 2.52874479e-03  2.52874479e-03  1.20897768e+01  1.22731698e+01  1.16170644e+01  1.51348407e+01  1.20897681e+01  1.28757741e+01  1.29378760e+00  7.07682568e-01  1.20000897e+01  1.20000000e+01  0.00000000e+00  1.42385965e+00  8.67917833e-03  7.03563596e-07  1.05313201e-01  6.93767375e-05 
 2.62874479e-03  2.62874479e-03  1.21225394e+01  1.25734196e+01  1.19153870e+01  1.55942599e+01  1.21094665e+01  1.29046705e+01  1.29567180e+00  7.08624671e-01  1.20001094e+01  1.20000000e+01  0.00000000e+00  1.42595849e+00  9.02333344e-03  1.40478149e-04  1.22254067e-01  7.19503002e-05 
 2.72874479e-03  2.72874479e-03  1.21957760e+01  1.27305646e+01  1.20707162e+01  1.60382895e+01  1.21289239e+01  1.29324810e+01  1.29752924e+00  7.09553388e-01  1.20001288e+01  1.20000000e+01  0.00000000e+00  1.42802797e+00  9.35488822e-03  7.63294355e-04  1.41173113e-01  7.45807221e-05 
 2.82874479e-03  2.82874479e-03  1.22768460e+01  1.28475730e+01  1.21860231e+01  1.64664912e+01  1.21477889e+01  1.29594109e+01  1.29932648e+00  7.10452009e-01  1.20001476e+01  1.20000000e+01  0.00000000e+00  1.43003085e+00  9.68156660e-03  1.55792285e-03  1.60793720e-01  7.72174054e-05 
 2.92874479e-03  2.92874479e-03  1.23591436e+01  1.29421213e+01  1.22789275e+01  1.68784425e+01  1.21660717e+01  1.29839395e+01  1.30105768e+00  7.11317608e-01  1.20001659e+01  1.20000000e+01  0.00000000e+00  1.43196146e+00  1.00030419e-02  1.98458897e-03  1.77859554e-01  7.98453023e-05 
 3.02874479e-03  3.02874479e-03  1.24370025e+01  1.30317772e+01  1.23670159e+01  1.72737368e+01  1.21839333e+01  1.30075283e+01  1.30273896e+00  7.12158251e-01  1.20001837e+01  1.20000000e+01  0.00000000e+00  1.43383769e+00  1.03237305e-02  2.53201536e-03  1.93920245e-01  8.24830088e-05 
 3.12874479e-03  3.12874479e-03  1.25109373e+01  1.31157920e+01  1.24494366e+01  1.76519840e+01  1.22019924e+01  1.30307112e+01  1.30443540e+00  7.13006469e-01  1.20002018e+01  1.20000000e+01  0.00000000e+00  1.43573127e+00  1.06565935e-02  3.09057097e-03  2.10059004e-01  8.52328114e-05 
 3.22874479e-03  3.22874479e-03  1.25795592e+01  1.31915025e+01  1.25234064e+01  1.80128109e+01  1.22222531e+01  1.30557401e+01  1.30633022e+00  7.13953878e-01  1.20002220e+01  1.20000000e+01  0.00000000e+00  1.43784736e+00  1.10370171e-02  3.57388452e-03  2.25322487e-01  8.84126966e-05 
 3.32874479e-03  3.32874479e-03  1.26407643e+01  1.32576685e+01  1.25874662e+01  1.83558612e+01  1.22470119e+01  1.30845910e+01  1.30863328e+00  7.15105410e-01  1.20002468e+01  1.20000000e+01  0.00000000e+00  1.44042098e+00  1.15116666e-02  3.93828388e-03  2.39603902e-01  9.24378563e-05 
 3.42874479e-03  3.42874479e-03  1.26940872e+01  1.33138960e+01  1.26412843e+01  1.86807966e+01  1.22758964e+01  1.31172653e+01  1.31130228e+00  7.16439908e-01  1.20002756e+01  1.20000000e+01  0.00000000e+00  1.44340582e+00  1.20814948e-02  4.18225722e-03  2.52888291e-01  9.73323588e-05 
 3.52874479e-03  3.52874479e-03  1.27405480e+01  1.33623162e+01  1.26871825e+01  1.89872962e+01  1.23063398e+01  1.31509980e+01  1.31409403e+00  7.17835782e-01  1.20003060e+01  1.20000000e+01  0.00000000e+00  1.44653072e+00  1.27033253e-02  4.34220207e-03  2.65286513e-01  1.02729507e-04 
 3.62874479e-03  3.62874479e-03  1.27814903e+01  1.34044244e+01  1.27268463e+01  1.92750577e+01  1.23363145e+01  1.31840558e+01  1.31682085e+00  7.19199191e-01  1.20003360e+01  1.20000000e+01  0.00000000e+00  1.44958583e+00  1.33380403e-02  4.45179556e-03  2.76863878e-01  1.08289919e-04 
 3.72874479e-03  3.72874479e-03  1.28186340e+01  1.34426222e+01  1.27627367e+01  1.95437970e+01  1.23646273e+01  1.32151060e+01  1.31938599e+00  7.20481763e-01  1.20003643e+01  1.20000000e+01  0.00000000e+00  1.45246118e+00  1.39632037e-02  4.54112478e-03  2.87879537e-01  1.13795091e-04 
 3.82874479e-03  3.82874479e-03  1.28505794e+01  1.34750811e+01  1.27930690e+01  1.97932490e+01  1.23913101e+01  1.32443140e+01  1.32177417e+00  7.21675852e-01  1.20003909e+01  1.20000000e+01  0.00000000e+00  1.45514207e+00  1.45664300e-02  4.59294743e-03  2.97865102e-01  1.19171752e-04 
 3.92874479e-03  3.92874479e-03  1.28790653e+01  1.35040698e+01  1.28201356e+01  2.00231674e+01  1.24155590e+01  1.32707613e+01  1.32392780e+00  7.22752668e-01  1.20004151e+01  1.20000000e+01  0.00000000e+00  1.45756191e+00  1.51309576e-02  4.63530960e-03  3.07065288e-01  1.24237873e-04 
 4.02874479e-03  4.02874479e-03  1.29043149e+01  1.35296266e+01  1.28439749e+01  2.02333254e+01  1.24375319e+01  1.32947837e+01  1.32586574e+00  7.23721639e-01  1.20004371e+01  1.20000000e+01  0.00000000e+00  1.45974124e+00  1.56556519e-02  4.66792263e-03  3.15513896e-01  1.28980447e-04 
