model,circuit,score_mean,n
gpt-4o-mini,ic3,17.0,2
gpt-4.1-mini,ic3,19.0,2
gpt-4.1-nano,ic3,19.0,2
gpt-5-nano,ic3,19.0,2
gpt-5-mini,ic3,20.5,2
gpt-5.4-nano,ic3,17.5,2
gpt-5.4-mini,ic3,20.5,2
gpt-5.4,ic3,19.0,2
