 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 1.57500000e-02  1.57500000e-02  1.41437516e+00  1.00000000e+01  1.09058833e+01  1.41436885e+00  5.00000008e+00 
 1.62500000e-02  1.62500000e-02  1.45719622e+00  1.00000000e+01  1.09421301e+01  1.45719132e+00  5.00000006e+00 
 1.67500000e-02  1.67500000e-02  1.49980371e+00  1.00000000e+01  1.09781416e+01  1.49979742e+00  5.00000008e+00 
 1.72500000e-02  1.72500000e-02  1.54219869e+00  1.00000000e+01  1.10139246e+01  1.54219381e+00  5.00000006e+00 
 1.77500000e-02  1.77500000e-02  1.58438222e+00  1.00000000e+01  1.10494748e+01  1.58437596e+00  5.00000008e+00 
 1.82500000e-02  1.82500000e-02  1.62635537e+00  1.00000000e+01  1.10847989e+01  1.62635051e+00  5.00000006e+00 
 1.87500000e-02  1.87500000e-02  1.66811917e+00  1.00000000e+01  1.11198929e+01  1.66811293e+00  5.00000008e+00 
 1.92500000e-02  1.92500000e-02  1.70967467e+00  1.00000000e+01  1.11547632e+01  1.70966983e+00  5.00000006e+00 
 1.97500000e-02  1.97500000e-02  1.75102291e+00  1.00000000e+01  1.11894051e+01  1.75101669e+00  5.00000007e+00 
 2.02500000e-02  2.02500000e-02  1.79216493e+00  1.00000000e+01  1.12238260e+01  1.79216011e+00  5.00000006e+00 
 2.07500000e-02  2.07500000e-02  1.83310175e+00  1.00000000e+01  1.12580216e+01  1.83309555e+00  5.00000007e+00 
 2.12500000e-02  2.12500000e-02  1.87383440e+00  1.00000000e+01  1.12919978e+01  1.87382960e+00  5.00000006e+00 
 2.17500000e-02  2.17500000e-02  1.91436389e+00  1.00000000e+01  1.13257507e+01  1.91435771e+00  5.00000007e+00 
 2.22500000e-02  2.22500000e-02  1.95469124e+00  1.00000000e+01  1.13592872e+01  1.95468646e+00  5.00000006e+00 
 2.27500000e-02  2.27500000e-02  1.99481746e+00  1.00000000e+01  1.13926027e+01  1.99481130e+00  5.00000007e+00 
 2.32500000e-02  2.32500000e-02  2.03474354e+00  1.00000000e+01  1.14257039e+01  2.03473878e+00  5.00000006e+00 
 2.37500000e-02  2.37500000e-02  2.07447050e+00  1.00000000e+01  1.14585867e+01  2.07446436e+00  5.00000007e+00 
 2.42500000e-02  2.42500000e-02  2.11399931e+00  1.00000000e+01  1.14912577e+01  2.11399456e+00  5.00000006e+00 
 2.47500000e-02  2.47500000e-02  2.15333097e+00  1.00000000e+01  1.15237121e+01  2.15332485e+00  5.00000007e+00 
 2.52500000e-02  2.52500000e-02  2.19246646e+00  1.00000000e+01  1.15559569e+01  2.19246174e+00  5.00000006e+00 
 2.57500000e-02  2.57500000e-02  2.23140677e+00  1.00000000e+01  1.15879876e+01  2.23140067e+00  5.00000007e+00 
 2.62500000e-02  2.62500000e-02  2.27015286e+00  1.00000000e+01  1.16198111e+01  2.27014815e+00  5.00000006e+00 
 2.67500000e-02  2.67500000e-02  2.30870570e+00  1.00000000e+01  1.16514226e+01  2.30869962e+00  5.00000007e+00 
 2.72500000e-02  2.72500000e-02  2.34706626e+00  1.00000000e+01  1.16828288e+01  2.34706156e+00  5.00000006e+00 
 2.77500000e-02  2.77500000e-02  2.38523549e+00  1.00000000e+01  1.17140250e+01  2.38522943e+00  5.00000007e+00 
 2.82500000e-02  2.82500000e-02  2.42321435e+00  1.00000000e+01  1.17450183e+01  2.42320968e+00  5.00000006e+00 
 2.87500000e-02  2.87500000e-02  2.46100380e+00  1.00000000e+01  1.17758042e+01  2.46099775e+00  5.00000007e+00 
 2.92500000e-02  2.92500000e-02  2.49860476e+00  1.00000000e+01  1.18063891e+01  2.49860010e+00  5.00000005e+00 
 2.97500000e-02  2.97500000e-02  2.53601819e+00  1.00000000e+01  1.18367684e+01  2.53601216e+00  5.00000007e+00 
 3.02500000e-02  3.02500000e-02  2.57324502e+00  1.00000000e+01  1.18669492e+01  2.57324038e+00  5.00000005e+00 
 3.07500000e-02  3.07500000e-02  2.61028618e+00  1.00000000e+01  1.18969269e+01  2.61028017e+00  5.00000007e+00 
 3.12500000e-02  3.12500000e-02  2.64714260e+00  1.00000000e+01  1.19267078e+01  2.64713797e+00  5.00000005e+00 
 3.17500000e-02  3.17500000e-02  2.68381519e+00  1.00000000e+01  1.19562876e+01  2.68380920e+00  5.00000007e+00 
 3.22500000e-02  3.22500000e-02  2.72030488e+00  1.00000000e+01  1.19856730e+01  2.72030026e+00  5.00000005e+00 
 3.27500000e-02  3.27500000e-02  2.75661258e+00  1.00000000e+01  1.20148596e+01  2.75660659e+00  5.00000007e+00 
 3.32500000e-02  3.32500000e-02  2.79273918e+00  1.00000000e+01  1.20438537e+01  2.79273458e+00  5.00000005e+00 
 3.37500000e-02  3.37500000e-02  2.82868561e+00  1.00000000e+01  1.20726511e+01  2.82867964e+00  5.00000007e+00 
 3.42500000e-02  3.42500000e-02  2.86445275e+00  1.00000000e+01  1.21012586e+01  2.86444816e+00  5.00000005e+00 
 3.47500000e-02  3.47500000e-02  2.90004151e+00  1.00000000e+01  1.21296712e+01  2.90003555e+00  5.00000007e+00 
 3.52500000e-02  3.52500000e-02  2.93545276e+00  1.00000000e+01  1.21578954e+01  2.93544818e+00  5.00000005e+00 
 3.57500000e-02  3.57500000e-02  2.97068740e+00  1.00000000e+01  1.21859269e+01  2.97068146e+00  5.00000007e+00 
 3.62500000e-02  3.62500000e-02  3.00574630e+00  1.00000000e+01  1.22137721e+01  3.00574174e+00  5.00000005e+00 
 3.67500000e-02  3.67500000e-02  3.04063035e+00  1.00000000e+01  1.22414264e+01  3.04062442e+00  5.00000007e+00 
 3.72500000e-02  3.72500000e-02  3.07534041e+00  1.00000000e+01  1.22688964e+01  3.07533585e+00  5.00000005e+00 
