 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)       
 9.35765648e+00  9.35765648e+00  4.54436524e-02  9.47375812e-02  6.45864216e-02  6.95752287e-02 
 9.35965648e+00  9.35965648e+00  4.56390147e-02  9.62495360e-02  6.00536760e-02  7.06776877e-02 
 9.36165648e+00  9.36165648e+00  4.58537581e-02  9.78068284e-02  6.22974092e-02  7.18168075e-02 
 9.36365648e+00  9.36365648e+00  4.60786768e-02  9.94441516e-02  5.80385057e-02  7.30107503e-02 
 9.36565648e+00  9.36565648e+00  4.63232227e-02  1.01133400e-01  6.03125666e-02  7.42464340e-02 
 9.36765648e+00  9.36765648e+00  4.65781651e-02  1.02910832e-01  5.62882599e-02  7.55429553e-02 
 9.36965648e+00  9.36965648e+00  4.68531093e-02  1.04747919e-01  5.85860328e-02  7.68871820e-02 
 9.37165648e+00  9.37165648e+00  4.71387886e-02  1.06682691e-01  5.47640396e-02  7.82992818e-02 
 9.37365648e+00  9.37365648e+00  4.74449753e-02  1.08686238e-01  5.70808407e-02  7.97661324e-02 
 9.37565648e+00  9.37565648e+00  4.77623566e-02  1.10798607e-01  5.34343375e-02  8.13091402e-02 
 9.37765648e+00  9.37765648e+00  4.81008868e-02  1.12990579e-01  5.57669123e-02  8.29152763e-02 
 9.37965648e+00  9.37965648e+00  4.84511976e-02  1.15304519e-01  5.22734076e-02  8.46073939e-02 
 9.38165648e+00  9.38165648e+00  4.88234423e-02  1.17711004e-01  5.46195703e-02  8.63726733e-02 
 9.38365648e+00  9.38365648e+00  4.92081890e-02  1.20255088e-01  5.12600446e-02  8.82356766e-02 
 9.38565648e+00  9.38565648e+00  4.96158088e-02  1.22907299e-01  5.36184155e-02  9.01839548e-02 
 9.38765648e+00  9.38765648e+00  5.00367989e-02  1.25715845e-01  5.03766591e-02  9.22441122e-02 
 9.38965648e+00  9.38965648e+00  5.04817690e-02  1.28651432e-01  5.27464729e-02  9.44042963e-02 
 9.39165648e+00  9.39165648e+00  5.09411391e-02  1.31766016e-01  4.96085689e-02  9.66935859e-02 
 9.39365648e+00  9.39365648e+00  5.14257817e-02  1.35030805e-01  5.19895323e-02  9.91010421e-02 
 9.39565648e+00  9.39565648e+00  5.19260343e-02  1.38502267e-01  4.89434509e-02  1.01658787e-01 
 9.39765648e+00  9.39765648e+00  5.24530586e-02  1.42152593e-01  5.13356368e-02  1.04357244e-01 
 9.39965648e+00  9.39965648e+00  5.29971061e-02  1.46043764e-01  4.83709116e-02  1.07232342e-01 
 9.40165648e+00  9.40165648e+00  5.35696585e-02  1.50149644e-01  5.07746801e-02  1.10276513e-01 
 9.40365648e+00  9.40365648e+00  5.41608790e-02  1.54539076e-01  4.78821492e-02  1.13530533e-01 
 9.40565648e+00  9.40565648e+00  5.47826037e-02  1.59188620e-01  5.02980884e-02  1.16989784e-01 
 9.40765648e+00  9.40765648e+00  5.54249082e-02  1.64175814e-01  4.74696851e-02  1.20701345e-01 
 9.40965648e+00  9.40965648e+00  5.61000229e-02  1.69481434e-01  4.98985663e-02  1.24664939e-01 
 9.41165648e+00  9.41165648e+00  5.67979384e-02  1.75194294e-01  4.71271487e-02  1.28936037e-01 
 9.41365648e+00  9.41365648e+00  5.75313259e-02  1.81301678e-01  4.95698928e-02  1.33520807e-01 
 9.41565648e+00  9.41565648e+00  5.82900975e-02  1.87907382e-01  4.68491038e-02  1.38486182e-01 
 9.41765648e+00  9.41765648e+00  5.90874191e-02  1.95008737e-01  4.93067566e-02  1.43848035e-01 
 9.41965648e+00  9.41965648e+00  5.99131353e-02  2.02730014e-01  4.66309085e-02  1.49689434e-01 
 9.42165648e+00  9.42165648e+00  6.07809706e-02  2.11084173e-01  4.91046221e-02  1.56041144e-01 
 9.42365648e+00  9.42365648e+00  6.16807194e-02  2.20224379e-01  4.64686006e-02  1.63009729e-01 
 9.42565648e+00  9.42565648e+00  6.26267403e-02  2.30188303e-01  4.89596197e-02  1.70649406e-01 
 9.42765648e+00  9.42765648e+00  6.36088023e-02  2.41171412e-01  4.63588041e-02  1.79102325e-01 
 9.42965648e+00  9.42965648e+00  6.46419894e-02  2.53251377e-01  4.88684568e-02  1.88460859e-01 
 9.43165648e+00  9.43165648e+00  6.57160814e-02  2.66688320e-01  4.62986521e-02  1.98923610e-01 
 9.43365648e+00  9.43365648e+00  6.68469974e-02  2.81626810e-01  4.88283436e-02  2.10647673e-01 
 9.43565648e+00  9.43565648e+00  6.80245785e-02  2.98430896e-01  4.62857238e-02  2.23926288e-01 
 9.43765648e+00  9.43765648e+00  6.92657145e-02  3.17361957e-01  4.88369324e-02  2.39032342e-01 
 9.43965648e+00  9.43965648e+00  7.05603777e-02  3.38961586e-01  4.63179922e-02  2.56428859e-01 
 9.44165648e+00  9.44165648e+00  7.19265967e-02  3.63706955e-01  4.88922678e-02  2.76610644e-01 
 9.44365648e+00  9.44365648e+00  7.33545721e-02  3.92466607e-01  4.63937811e-02  3.00372569e-01 
 9.44565648e+00  9.44565648e+00  7.48636825e-02  4.26147325e-01  4.89927453e-02  3.28675465e-01 
 9.44765648e+00  9.44765648e+00  7.64444916e-02  4.66280201e-01  4.65117299e-02  3.63039990e-01 
 9.44965648e+00  9.44965648e+00  7.81179975e-02  5.14718603e-01  4.91370772e-02  4.05536995e-01 
 9.45165648e+00  9.45165648e+00  7.98753147e-02  5.74518807e-01  4.66707648e-02  4.59541946e-01 
