 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)        v(OUT_4)       
 7.05600000e-02  7.05600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 7.25600000e-02  7.25600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 7.45600000e-02  7.45600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 7.65600000e-02  7.65600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 7.85600000e-02  7.85600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 8.05600000e-02  8.05600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 8.25600000e-02  8.25600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 8.45600000e-02  8.45600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 8.65600000e-02  8.65600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 8.85600000e-02  8.85600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 9.05600000e-02  9.05600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 9.25600000e-02  9.25600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 9.45600000e-02  9.45600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 9.65600000e-02  9.65600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 9.85600000e-02  9.85600000e-02  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.00560000e-01  1.00560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.02560000e-01  1.02560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.04560000e-01  1.04560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.06560000e-01  1.06560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.08560000e-01  1.08560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.10560000e-01  1.10560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.12560000e-01  1.12560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.14560000e-01  1.14560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.16560000e-01  1.16560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.18560000e-01  1.18560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.20560000e-01  1.20560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.22560000e-01  1.22560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.24560000e-01  1.24560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.26560000e-01  1.26560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.28560000e-01  1.28560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.30560000e-01  1.30560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.32560000e-01  1.32560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 1.34560000e-01  1.34560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
