 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 1.42710351e-04  1.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.92818219e-02  1.89435461e-02  5.48493222e-01  1.49336672e-02  4.17676871e-03  5.47845581e-01  1.56251218e-02 
 1.52710351e-04  1.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.99948290e-02  1.96625223e-02  5.76690328e-01  1.56536015e-02  4.17823152e-03  5.76094994e-01  1.63781794e-02 
 1.62710351e-04  1.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.06457721e-02  2.03198197e-02  6.02461038e-01  1.63117818e-02  4.17976075e-03  6.01920069e-01  1.70665998e-02 
 1.72710351e-04  1.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.12320825e-02  2.09128508e-02  6.25703827e-01  1.69056104e-02  4.18135028e-03  6.25219617e-01  1.76876662e-02 
 1.82710351e-04  1.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.17514464e-02  2.14392694e-02  6.46326814e-01  1.74327438e-02  4.18299379e-03  6.45901042e-01  1.82389273e-02 
 1.92710351e-04  1.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.22018144e-02  2.18970040e-02  6.64248778e-01  1.78911017e-02  4.18468473e-03  6.63883329e-01  1.87182078e-02 
 2.02710351e-04  2.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.25814094e-02  2.22842426e-02  6.79398848e-01  1.82788750e-02  4.18641636e-03  6.79094984e-01  1.91236161e-02 
 2.12710351e-04  2.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.28887334e-02  2.25994628e-02  6.91717392e-01  1.85945335e-02  4.18818179e-03  6.91476471e-01  1.94535522e-02 
 2.22710351e-04  2.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.31225739e-02  2.28414153e-02  7.01155665e-01  1.88368313e-02  4.18997399e-03  7.00978497e-01  1.97067140e-02 
 2.32710351e-04  2.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32820081e-02  2.30091508e-02  7.07676563e-01  1.90048122e-02  4.19178583e-03  7.07563971e-01  1.98821024e-02 
 2.42710351e-04  2.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33664072e-02  2.31020024e-02  7.11254234e-01  1.90978133e-02  4.19361009e-03  7.11206554e-01  1.99790252e-02 
 2.52710351e-04  2.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33754382e-02  2.31196089e-02  7.11874695e-01  1.91154674e-02  4.19543952e-03  7.11892207e-01  1.99971000e-02 
 2.62710351e-04  2.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33090657e-02  2.30618961e-02  7.09535386e-01  1.90577050e-02  4.19726683e-03  7.09617942e-01  1.99362553e-02 
 2.72710351e-04  2.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.31675520e-02  2.29290969e-02  7.04245669e-01  1.89247540e-02  4.19908475e-03  7.04393010e-01  1.97967314e-02 
 2.82710351e-04  2.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.29514556e-02  2.27217307e-02  6.96026316e-01  1.87171390e-02  4.20088605e-03  6.96237803e-01  1.95790787e-02 
 2.92710351e-04  2.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.26616297e-02  2.24406209e-02  6.84909888e-01  1.84356794e-02  4.20266356e-03  6.85184735e-01  1.92841565e-02 
 3.02710351e-04  3.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.22992183e-02  2.20868726e-02  6.70940159e-01  1.80814860e-02  4.20441019e-03  6.71277241e-01  1.89131284e-02 
 3.12710351e-04  3.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.18656518e-02  2.16618864e-02  6.54172378e-01  1.76559566e-02  4.20611901e-03  6.54570397e-01  1.84674589e-02 
 3.22710351e-04  3.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.13626417e-02  2.11673356e-02  6.34672628e-01  1.71607706e-02  4.20778319e-03  6.35129987e-01  1.79489067e-02 
 3.32710351e-04  3.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.07921733e-02  2.06051763e-02  6.12517977e-01  1.65978822e-02  4.20939612e-03  6.13032890e-01  1.73595184e-02 
 3.42710351e-04  3.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.01564982e-02  1.99776232e-02  5.87795772e-01  1.59695130e-02  4.21095136e-03  5.88366194e-01  1.67016201e-02 
 3.52710351e-04  3.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.94581253e-02  1.92871573e-02  5.60603688e-01  1.52781427e-02  4.21244272e-03  5.61227374e-01  1.59778080e-02 
 3.62710351e-04  3.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.86998110e-02  1.85364996e-02  5.31048956e-01  1.45264999e-02  4.21386426e-03  5.31723443e-01  1.51909389e-02 
 3.72710351e-04  3.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.78845482e-02  1.77286171e-02  4.99248319e-01  1.37175509e-02  4.21521030e-03  4.99970943e-01  1.43441181e-02 
 3.82710351e-04  3.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.70155547e-02  1.68666941e-02  4.65327200e-01  1.28544884e-02  4.21647546e-03  4.66095113e-01  1.34406875e-02 
 3.92710351e-04  3.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.60962602e-02  1.59541366e-02  4.29419570e-01  1.19407184e-02  4.21765470e-03  4.30229734e-01  1.24842128e-02 
 4.02710351e-04  4.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.51302929e-02  1.49945422e-02  3.91667064e-01  1.09798471e-02  4.21874330e-03  3.92516292e-01  1.14784685e-02 
 4.12710351e-04  4.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.41214653e-02  1.39917022e-02  3.52218770e-01  9.97566663e-03  4.21973691e-03  3.53103697e-01  1.04274240e-02 
 4.22710351e-04  4.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.30737591e-02  1.29495706e-02  3.11230300e-01  8.93214006e-03  4.22063154e-03  3.12147449e-01  9.33522716e-03 
 4.32710351e-04  4.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.19913092e-02  1.18722644e-02  2.68863511e-01  7.85338566e-03  4.22142360e-03  2.69809243e-01  8.20618847e-03 
 4.42710351e-04  4.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.08783878e-02  1.07640316e-02  2.25285533e-01  6.74366081e-03  4.22210990e-03  2.26256137e-01  7.04476371e-03 
 4.52710351e-04  4.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  9.73938727e-03  9.62924993e-03  1.80668442e-01  5.60734503e-03  4.22268768e-03  1.81660065e-01  5.85553648e-03 
 4.62710351e-04  4.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.57880305e-03  8.47239424e-03  1.35188251e-01  4.44892287e-03  4.22315459e-03  1.36197003e-01  4.64320013e-03 
 4.72710351e-04  4.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  7.40121559e-03  7.29803410e-03  8.90245414e-02  3.27296605e-03  4.22350874e-03  9.00464155e-02  3.41253919e-03 
 4.82710351e-04  4.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.21127254e-03  6.11080070e-03  4.23594314e-02  2.08411556e-03  4.22374866e-03  4.33904210e-02  2.16841051e-03 
 4.92710351e-04  4.92710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.01367026e-03  4.91538339e-03 -4.62282393e-03  8.87063200e-04  4.22387335e-03 -3.58681512e-03  9.15724109e-04 
 5.02710351e-04  5.02710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  3.81313538e-03  3.71649654e-03 -5.17368729e-02 -3.13466782e-04  4.22388226e-03 -5.06999057e-02 -3.40576237e-04 
 5.12710351e-04  5.12710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.61440607e-03  2.51887541e-03 -9.87966909e-02 -1.51273649e-03  4.22377528e-03 -9.77628869e-02 -1.59553249e-03 
 5.22710351e-04  5.22710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.42221341e-03  1.32724312e-03 -1.45616619e-01 -2.70601293e-03  4.22355278e-03 -1.44590028e-01 -2.84419190e-03 
 5.32710351e-04  5.32710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.41262633e-04  1.46306273e-04 -1.92011793e-01 -3.88858683e-03  4.22321559e-03 -1.90996499e-01 -4.08162658e-03 
 5.42710351e-04  5.42710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.23785334e-04 -1.01927781e-03 -2.37799178e-01 -5.05579109e-03  4.22276496e-03 -2.36799155e-01 -5.30295295e-03 
 5.52710351e-04  5.52710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -2.06833239e-03 -2.16490540e-03 -2.82797986e-01 -6.20301932e-03  4.22220262e-03 -2.81817214e-01 -6.50335098e-03 
 5.62710351e-04  5.62710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -3.18786128e-03 -3.28605847e-03 -3.26830689e-01 -7.32574392e-03  4.22153073e-03 -3.25873006e-01 -7.67808326e-03 
 5.72710351e-04  5.72710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -4.27795355e-03 -4.37830867e-03 -3.69723427e-01 -8.41953405e-03  4.22075188e-03 -3.68792646e-01 -8.82251366e-03 
 5.82710351e-04  5.82710351e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -5.33430683e-03 -5.43734859e-03 -4.11306983e-01 -9.48007300e-03  4.21986908e-03 -4.10406744e-01 -9.93212562e-03 
