time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),v(N011),v(N012),v(N013),v(N014),v(N015),v(N016),v(N017),@ddiode7_1[id],@ddiode7_2[id],@ddiode7_3[id],@ddiode7_4[id],@ddiode7_5[id],@ddiode7_6[id],@ddiode7_7[id],@dled12_1[id],@dled12_2[id],@dled12_3[id]
0.0,0.0,9.0,1.1648171,7.47253762,5.63245021e-08,8.99984187,8.99992094,8.99985244,8.99999991,8.99992618,7.39560011,1.16481109,0.82792439,0.141229878,8.07671044e-08,7.40674936,8.99999986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
1e-05,0.0,9.00003,1.16483343,7.47256739,5.63261871e-08,8.99987187,8.99995093,8.99988243,9.00002991,8.99995617,7.39562961,1.16482742,0.827924503,0.141229873,8.07688867e-08,7.40677883,9.00002986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
2e-05,0.0,9.00006,1.16484258,7.47259715,5.63278737e-08,8.99990186,8.99998093,8.99991243,9.00005991,8.99998617,7.3956591,1.16483656,0.827924615,0.141229867,8.07706705e-08,7.4068083,9.00005986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
4e-05,0.0,9.00012,1.16485283,7.47265668,5.63312484e-08,8.99996185,9.00004093,8.99997242,9.00011991,9.00004616,7.39571809,1.16484681,0.82792484,0.141229856,8.07742398e-08,7.40686724,9.00011986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
8e-05,0.0,9.00024,1.16485453,7.47277575,5.63380062e-08,9.00008182,9.00016091,9.00009241,9.00023991,9.00016616,7.39583607,1.16484851,0.827925291,0.141229834,8.07813866e-08,7.40698514,9.00023986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00016,0.0,9.00048,1.16485406,7.47301388,5.63515586e-08,9.00032176,9.00040088,9.00033241,9.00047991,9.00040615,7.39607203,1.16484804,0.827926192,0.14122979,8.0795717e-08,7.40722092,9.00047986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00032,0.0,9.00096,1.16485435,7.47349014,5.6378811e-08,9.00080165,9.00088083,9.0008124,9.00095991,9.00088615,7.39654394,1.16484833,0.827927993,0.141229703,8.08245256e-08,7.40769248,9.00095986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00064,0.0,9.00192,1.16485415,7.47444266,5.64339093e-08,9.00176139,9.0018407,9.00177238,9.00191991,9.00184613,7.39748777,1.16484813,0.827931596,0.141229527,8.08827363e-08,7.4086356,9.00191986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00128,0.0,9.00384,1.16485437,7.4763477,5.65465254e-08,9.00368086,9.00376043,9.00369238,9.00383991,9.00376615,7.39937543,1.16484835,0.8279388,0.141229177,8.1001577e-08,7.41052186,9.00383986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00228,0.0,9.00684,1.16485424,7.47932434,5.67307919e-08,9.00667999,9.00675999,9.00669231,9.00683991,9.0067661,7.40232491,1.16484822,0.827950054,0.14122863,8.11955695e-08,7.41346913,9.00683986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00328,0.0,9.00984,1.16485445,7.48230099,5.69299853e-08,9.00967906,9.00975953,9.00969224,9.00983991,9.00976606,7.40527439,1.16484843,0.827961303,0.141228086,8.1404489e-08,7.41641642,9.00983986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
0.00428,0.0,9.01284,1.16485433,7.48527765,5.71418479e-08,9.01267804,9.01275901,9.01269224,9.01283991,9.01276608,7.40822389,1.16484831,0.827972547,0.141227543,8.16260776e-08,7.41936372,9.01283986,0.014052654,-0.00203663395,0.00203663395,0.00203663395,-0.000896428374,0.000896428374,0.000896428374,2.8861902e-11,1.90559626e-10,0.0128161975
