 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 5.00000000e-06  5.00000000e-06  1.08342635e-05  2.50000000e-02 -1.08882120e-01  1.30354434e+00  2.77638027e-03  1.89398044e-12 
 5.08368425e-06  5.08368425e-06  1.10171125e-05  2.54184212e-02 -8.93565097e-02  1.31303262e+00  1.89822642e-02  9.50386753e-13 
 5.25105274e-06  5.25105274e-06  1.13787574e-05  2.62552637e-02 -1.01331090e-01  1.27440825e+00 -1.76191591e-03  1.50525567e-12 
 5.49515907e-06  5.49515907e-06  1.18984063e-05  2.74757954e-02 -7.61938855e-02  1.25554413e+00  8.99839220e-03  6.44102380e-13 
 5.56386022e-06  5.56386022e-06  1.20438766e-05  2.78193011e-02 -7.31927994e-02  1.24834985e+00  8.69729554e-03  5.87697208e-13 
 5.57424438e-06  5.57424438e-06  1.20657617e-05  2.78712219e-02 -7.63621172e-02  1.24370275e+00  5.05161587e-03  6.56792937e-13 
 5.57424439e-06  5.57424439e-06  1.20657617e-05  2.78712219e-02 -7.89675288e-01  0.00000000e+00 -1.23838994e+00  5.33725418e-01 
 5.57424439e-06  5.57424439e-06  1.20657641e-05  2.78712220e-02  3.18726811e+02  3.20000000e+02  3.18694407e+02 -3.18708940e-10 
 5.57424440e-06  5.57424440e-06  1.20657711e-05  2.78712220e-02  6.38773870e+02  6.40000000e+02  6.38627204e+02 -6.38755999e-10 
 5.57424442e-06  5.57424442e-06  1.20657805e-05  2.78712221e-02 -8.10939804e-01 -6.83926208e-01 -1.92217253e+00  1.21441642e+00 
 5.57424446e-06  5.57424446e-06  1.20657805e-05  2.78712223e-02 -7.67746137e-01  3.24253228e-01 -9.14204816e-01  2.28616908e-01 
 5.57424454e-06  5.57424454e-06  1.20657806e-05  2.78712227e-02 -7.67281449e-01  3.28409682e-01 -9.10049227e-01  2.24546271e-01 
