 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 1.02500000e-02  1.02500000e-02  4.64469467e-01  5.00000000e+00  5.14548473e+00  4.64458745e-01  5.32319468e-01 -1.55409191e-13 
 1.07500000e-02  1.07500000e-02  4.87090557e-01  5.00000000e+00  5.16556532e+00  4.87073636e-01  5.32319513e-01 -1.75514066e-13 
 1.12500000e-02  1.12500000e-02  5.09598823e-01  5.00000000e+00  5.18553591e+00  5.09588018e-01  5.32319468e-01 -1.95499490e-13 
 1.17500000e-02  1.17500000e-02  5.31994829e-01  5.00000000e+00  5.20537241e+00  5.31977850e-01  5.32319514e-01 -2.15345554e-13 
 1.22500000e-02  1.22500000e-02  5.54279134e-01  5.00000000e+00  5.22509919e+00  5.54268236e-01  5.32319469e-01 -2.35078801e-13 
 1.27500000e-02  1.27500000e-02  5.76452295e-01  5.00000000e+00  5.24469040e+00  5.76435246e-01  5.32319514e-01 -2.54674522e-13 
 1.32500000e-02  1.32500000e-02  5.98514867e-01  5.00000000e+00  5.26416684e+00  5.98503859e-01  5.32319470e-01 -2.74154219e-13 
 1.37500000e-02  1.37500000e-02  6.20467401e-01  5.00000000e+00  5.28349476e+00  6.20450259e-01  5.32319515e-01 -2.93484552e-13 
 1.42500000e-02  1.42500000e-02  6.42310446e-01  5.00000000e+00  5.30267574e+00  6.42299292e-01  5.32319471e-01 -3.12667350e-13 
 1.47500000e-02  1.47500000e-02  6.64044548e-01  5.00000000e+00  5.32163265e+00  6.64027248e-01  5.32319516e-01 -3.31625659e-13 
 1.52500000e-02  1.52500000e-02  6.85670250e-01  5.00000000e+00  5.34026738e+00  6.85658818e-01  5.32319473e-01 -3.50261480e-13 
 1.57500000e-02  1.57500000e-02  7.07188094e-01  5.00000000e+00  5.35827554e+00  7.07170357e-01  5.32319519e-01 -3.68270485e-13 
 1.62500000e-02  1.62500000e-02  7.28598616e-01  5.00000000e+00  5.37504276e+00  7.28586305e-01  5.32319479e-01 -3.85038346e-13 
 1.67500000e-02  1.67500000e-02  7.49902352e-01  5.00000000e+00  5.38909709e+00  7.49882868e-01  5.32319532e-01 -3.99093142e-13 
 1.72500000e-02  1.72500000e-02  7.71099833e-01  5.00000000e+00  5.39719503e+00  7.71083759e-01  5.32319507e-01 -4.07191314e-13 
 1.77500000e-02  1.77500000e-02  7.92191589e-01  5.00000000e+00  5.39197966e+00  7.92163999e-01  5.32319592e-01 -4.01975794e-13 
 1.82500000e-02  1.82500000e-02  8.13178140e-01  5.00000000e+00  5.34836373e+00  8.13138992e-01  5.32319677e-01 -3.58358227e-13 
 1.87500000e-02  1.87500000e-02  8.34060001e-01  5.00000000e+00  5.22021149e+00  8.33982150e-01  5.32319962e-01 -2.30189711e-13 
 1.92500000e-02  1.92500000e-02  8.54837676e-01  5.00000000e+00  4.91814671e+00  8.54694444e-01  5.32320443e-01  3.08656701e-13 
 1.97500000e-02  1.97500000e-02  8.75511725e-01  5.00000000e+00  4.66590125e+00  8.75445058e-01  5.32321645e-01  4.07233504e-09 
 2.02500000e-02  2.02500000e-02  8.96082703e-01  5.00000000e+00  4.64565859e+00  8.96049939e-01  5.32323263e-01  8.90671796e-09 
 2.07500000e-02  2.07500000e-02  9.16551068e-01  5.00000000e+00  4.62713956e+00  9.16448101e-01  5.32327795e-01  1.82246908e-08 
 2.12500000e-02  2.12500000e-02  9.36917319e-01  5.00000000e+00  4.60396424e+00  9.36806546e-01  5.32337495e-01  4.46466624e-08 
 2.17500000e-02  2.17500000e-02  9.57181942e-01  5.00000000e+00  4.58651451e+00  9.56941861e-01  5.32358568e-01  8.76563757e-08 
 2.22500000e-02  2.22500000e-02  9.77345397e-01  5.00000000e+00  4.56434634e+00  9.76969996e-01  5.32403606e-01  2.06540498e-07 
 2.27500000e-02  2.27500000e-02  9.97408110e-01  5.00000000e+00  4.54656723e+00  9.96686951e-01  5.32499085e-01  4.10706472e-07 
 2.32500000e-02  2.32500000e-02  1.01737044e+00  5.00000000e+00  4.52602529e+00  1.01611057e+00  5.32697385e-01  9.08758140e-07 
 2.37500000e-02  2.37500000e-02  1.03723262e+00  5.00000000e+00  4.50866444e+00  1.03493985e+00  5.33096202e-01  1.77808339e-06 
 2.42500000e-02  2.42500000e-02  1.05699475e+00  5.00000000e+00  4.49067184e+00  1.05303535e+00  5.33857163e-01  3.56503184e-06 
 2.47500000e-02  2.47500000e-02  1.07665673e+00  5.00000000e+00  4.47554108e+00  1.07001107e+00  5.35195713e-01  6.39914672e-06 
 2.52500000e-02  2.52500000e-02  1.09621826e+00  5.00000000e+00  4.46166231e+00  1.08578780e+00  5.37316302e-01  1.09435608e-05 
 2.57500000e-02  2.57500000e-02  1.11567902e+00  5.00000000e+00  4.45032649e+00  1.10028625e+00  5.40308541e-01  1.69627777e-05 
 2.62500000e-02  2.62500000e-02  1.13503875e+00  5.00000000e+00  4.44064625e+00  1.11377506e+00  5.44140368e-01  2.46624737e-05 
 2.67500000e-02  2.67500000e-02  1.15429734e+00  5.00000000e+00  4.43262893e+00  1.12639292e+00  5.48690544e-01  3.36243844e-05 
 2.72500000e-02  2.72500000e-02  1.17345481e+00  5.00000000e+00  4.42579138e+00  1.13841088e+00  5.53850027e-01  4.37988611e-05 
 2.77500000e-02  2.77500000e-02  1.19251135e+00  5.00000000e+00  4.41996164e+00  1.14990633e+00  5.59488691e-01  5.48718066e-05 
 2.82500000e-02  2.82500000e-02  1.21146721e+00  5.00000000e+00  4.41488346e+00  1.16105673e+00  5.65537820e-01  6.67753763e-05 
 2.87500000e-02  2.87500000e-02  1.23032271e+00  5.00000000e+00  4.41044409e+00  1.17187826e+00  5.71897443e-01  7.92788265e-05 
 2.92500000e-02  2.92500000e-02  1.24907824e+00  5.00000000e+00  4.40649336e+00  1.18249095e+00  5.78538250e-01  9.23620238e-05 
 2.97500000e-02  2.97500000e-02  1.26773421e+00  5.00000000e+00  4.40296996e+00  1.19287862e+00  5.85382040e-01  1.05841082e-04 
