 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 1.80388691e-04  1.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.16369469e-02  2.13651263e-02  2.94817725e-01  1.73164196e-02  4.17381926e-03  2.94606764e-01  1.81172840e-02 
 1.90388691e-04  1.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.21035020e-02  2.18351113e-02  3.03732003e-01  1.77909162e-02  4.17461135e-03  3.03549484e-01  1.86134551e-02 
 2.00388691e-04  2.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.24996718e-02  2.22348800e-02  3.11311648e-01  1.81952235e-02  4.17542316e-03  3.11159333e-01  1.90361673e-02 
 2.10388691e-04  2.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.28238934e-02  2.25627919e-02  3.17525825e-01  1.85277462e-02  4.17625148e-03  3.17403401e-01  1.93837525e-02 
 2.20388691e-04  2.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.30748870e-02  2.28176103e-02  3.22350836e-01  1.87871717e-02  4.17709301e-03  3.22259588e-01  1.96548389e-02 
 2.30388691e-04  2.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32516628e-02  2.29982776e-02  3.25766912e-01  1.89724764e-02  4.17794439e-03  3.25706496e-01  1.98483567e-02 
 2.40388691e-04  2.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33535230e-02  2.31041289e-02  3.27761230e-01  1.90829287e-02  4.17880224e-03  3.27732502e-01  1.99635420e-02 
 2.50388691e-04  2.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33800660e-02  2.31347025e-02  3.28325338e-01  1.91180931e-02  4.17966316e-03  3.28327870e-01  1.99999404e-02 
 2.60388691e-04  2.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.33311871e-02  2.30899189e-02  3.27457542e-01  1.90778303e-02  4.18052372e-03  3.27491797e-01  1.99574081e-02 
 2.70388691e-04  2.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.32070797e-02  2.29699170e-02  3.25160794e-01  1.89622997e-02  4.18138049e-03  3.25226224e-01  1.98361130e-02 
 2.80388691e-04  2.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.30082334e-02  2.27752062e-02  3.21444596e-01  1.87719567e-02  4.18223007e-03  3.21541302e-01  1.96365339e-02 
 2.90388691e-04  2.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.27354337e-02  2.25065217e-02  3.16323225e-01  1.85075530e-02  4.18306908e-03  3.16450513e-01  1.93594584e-02 
 3.00388691e-04  3.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.23897570e-02  2.21649556e-02  3.09817258e-01  1.81701317e-02  4.18389418e-03  3.09974896e-01  1.90059799e-02 
 3.10388691e-04  3.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.19725681e-02  2.17518264e-02  3.01952043e-01  1.77610247e-02  4.18470209e-03  3.02139176e-01  1.85774935e-02 
