 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.00000000e-05  1.00000000e-05  5.00000000e+00  4.27345838e+00  4.27379538e+00  1.25378090e+00  3.55255135e-03  4.03572372e-03  5.71037387e-02  1.58221853e-02  1.56173766e-02 
 1.01876264e-05  1.01876264e-05  5.00000000e+00  4.27349184e+00  4.27370660e+00  1.23913120e+00  7.02360146e-03  7.51583133e-03  4.25166016e-02  1.58017342e-02  1.56710741e-02 
 1.05628793e-05  1.05628793e-05  5.00000000e+00  6.48320099e+03  4.14339764e+00 -6.49581174e+02  6.48320099e+03  6.48060303e+03 -6.48180609e+02 -6.47821099e-09  2.41601484e+00 
 1.06762968e-05  1.06762968e-05  5.00000000e+00  4.27611246e+00  4.27526448e+00 -1.89377366e+00  4.20743475e-01 -2.96209787e+00  2.91401643e-01  1.42791444e-02  1.47550475e-02 
 1.07040487e-05  1.07040487e-05  5.00000000e+00  4.27612572e+00  4.27526482e+00 -1.89354941e+00  4.22731776e-01 -2.95987529e+00  2.91454619e-01  1.42718295e-02  1.47548526e-02 
 1.07516448e-05  1.07516448e-05  5.00000000e+00  4.27610898e+00  4.27525718e+00 -1.89383016e+00  4.20220775e-01 -2.96198502e+00  2.90880642e-01  1.42810674e-02  1.47592095e-02 
 1.08019057e-05  1.08019057e-05  5.00000000e+00  4.27539938e+00  4.27526034e+00 -1.89364176e+00  4.22683515e-01 -2.95909933e+00  2.90760081e-01  1.46782925e-02  1.47574084e-02 
 1.09024275e-05  1.09024275e-05  5.00000000e+00  4.27610012e+00  4.27525166e+00 -1.89437163e+00  4.18890435e-01 -2.96204886e+00  2.89414583e-01  1.42859618e-02  1.47623595e-02 
 1.10313372e-05  1.10313372e-05  5.00000000e+00  4.27612979e+00  4.27524457e+00 -1.89468699e+00  4.23342828e-01 -2.95651980e+00  2.88313833e-01  1.42695813e-02  1.47664101e-02 
 1.11437344e-05  1.11437344e-05  5.00000000e+00  4.27608215e+00  4.27522865e+00 -1.89647644e+00  4.16192134e-01 -2.96273613e+00  2.85843716e-01  1.42958889e-02  1.47754998e-02 
 1.12538574e-05  1.12538574e-05  5.00000000e+00  4.27615039e+00  4.27522270e+00 -1.89673623e+00  4.26430708e-01 -2.95158681e+00  2.84920025e-01  1.42582210e-02  1.47788988e-02 
