epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1194.36,1.23045,0.78955,1.20084,0.78012,0.83817,0.83567,0.56569,1.35544,0.81545,1.34361,0.00016516,0.00016516,0.00016516
43,1222.93,1.23434,0.78256,1.2062,0.81167,0.82681,0.83304,0.56609,1.37302,0.82653,1.34349,0.000162408,0.000162408,0.000162408
44,1250.31,1.21172,0.75918,1.19535,0.87483,0.78026,0.84343,0.56619,1.35384,0.82664,1.33284,0.000159655,0.000159655,0.000159655
45,1277.12,1.2131,0.75786,1.1789,0.87527,0.78127,0.85613,0.57632,1.36251,0.81299,1.34295,0.000156903,0.000156903,0.000156903
46,1304.17,1.20591,0.74284,1.19107,0.85393,0.80756,0.8523,0.58004,1.36059,0.79605,1.32927,0.000154151,0.000154151,0.000154151
47,1332.02,1.18057,0.73678,1.18475,0.88341,0.7879,0.87608,0.58831,1.35495,0.81395,1.33438,0.000151399,0.000151399,0.000151399
48,1360.97,1.2132,0.77167,1.18833,0.81184,0.84931,0.86986,0.58163,1.37334,0.83355,1.34493,0.000148647,0.000148647,0.000148647
49,1388.49,1.18307,0.76064,1.18406,0.85586,0.81441,0.85848,0.57488,1.36785,0.82117,1.35313,0.000145894,0.000145894,0.000145894
50,1415.63,1.18353,0.72418,1.173,0.81007,0.8558,0.86949,0.58191,1.35947,0.8164,1.34197,0.000143142,0.000143142,0.000143142
51,1443.64,1.17947,0.72948,1.17267,0.79523,0.83392,0.8457,0.58086,1.37426,0.81859,1.35108,0.00014039,0.00014039,0.00014039
52,1471.53,1.17267,0.73925,1.18542,0.80312,0.83402,0.85951,0.5773,1.3813,0.85247,1.36731,0.000137638,0.000137638,0.000137638
53,1498.5,1.17185,0.74525,1.1733,0.86642,0.81129,0.87402,0.58499,1.36442,0.81433,1.35078,0.000134886,0.000134886,0.000134886
54,1526.23,1.16532,0.69195,1.1673,0.82285,0.84283,0.86516,0.58341,1.37335,0.8119,1.35973,0.000132133,0.000132133,0.000132133
55,1553.8,1.15797,0.69802,1.14465,0.87016,0.81253,0.86913,0.58756,1.34991,0.79281,1.34656,0.000129381,0.000129381,0.000129381
56,1581.51,1.15285,0.72074,1.16966,0.83886,0.8373,0.87917,0.59802,1.36287,0.80094,1.3511,0.000126629,0.000126629,0.000126629
57,1610.34,1.13911,0.68632,1.13989,0.86616,0.83809,0.8748,0.59243,1.37299,0.82064,1.35218,0.000123877,0.000123877,0.000123877
58,1637.67,1.14824,0.69907,1.16284,0.85549,0.82791,0.87598,0.60115,1.36468,0.8083,1.35164,0.000121125,0.000121125,0.000121125
59,1665.51,1.14346,0.6754,1.1466,0.80475,0.83212,0.86065,0.58339,1.3736,0.81214,1.35453,0.000118372,0.000118372,0.000118372
60,1692.02,1.13351,0.67475,1.14674,0.8037,0.8209,0.85705,0.57836,1.37539,0.82896,1.36169,0.00011562,0.00011562,0.00011562
61,1719.6,1.13283,0.67384,1.14717,0.81211,0.84211,0.8714,0.58426,1.34968,0.81126,1.35059,0.000112868,0.000112868,0.000112868
62,1747.85,1.14523,0.68514,1.15814,0.7867,0.85847,0.8743,0.58911,1.38472,0.81603,1.36678,0.000110116,0.000110116,0.000110116
63,1775.27,1.1283,0.68339,1.15158,0.82931,0.83318,0.86004,0.5885,1.35736,0.81121,1.34842,0.000107364,0.000107364,0.000107364
64,1803.39,1.11451,0.66401,1.13606,0.8324,0.84238,0.86987,0.58905,1.37092,0.8192,1.36199,0.000104611,0.000104611,0.000104611
65,1831.17,1.13901,0.66823,1.14131,0.85233,0.84074,0.87458,0.58627,1.36872,0.81522,1.35902,0.000101859,0.000101859,0.000101859
66,1858.17,1.1046,0.65168,1.12522,0.85444,0.80995,0.87556,0.58773,1.37091,0.81999,1.35676,9.9107e-05,9.9107e-05,9.9107e-05
67,1885.97,1.10387,0.64655,1.12253,0.84041,0.82285,0.87285,0.58113,1.38487,0.81978,1.36805,9.63548e-05,9.63548e-05,9.63548e-05
68,1913.36,1.11003,0.64792,1.14265,0.82901,0.8466,0.87778,0.59418,1.36717,0.81785,1.36408,9.36026e-05,9.36026e-05,9.36026e-05
69,1941.15,1.10988,0.64445,1.1483,0.85096,0.83973,0.88133,0.59127,1.36687,0.7933,1.35941,9.08504e-05,9.08504e-05,9.08504e-05
70,1968.62,1.10224,0.64483,1.13686,0.83819,0.85368,0.87572,0.59412,1.3639,0.80223,1.35142,8.80982e-05,8.80982e-05,8.80982e-05
71,1995.1,1.09703,0.65057,1.13368,0.85681,0.8264,0.87987,0.58647,1.37936,0.81018,1.36599,8.5346e-05,8.5346e-05,8.5346e-05
72,2022.19,1.09704,0.63326,1.12639,0.81191,0.8504,0.86683,0.5854,1.36205,0.81717,1.35716,8.25938e-05,8.25938e-05,8.25938e-05
73,2049.49,1.10179,0.64436,1.13256,0.79682,0.8528,0.86977,0.58421,1.36682,0.81508,1.36064,7.98416e-05,7.98416e-05,7.98416e-05
74,2077.09,1.07089,0.63692,1.12635,0.83105,0.83279,0.85743,0.58434,1.3585,0.79463,1.3469,7.70894e-05,7.70894e-05,7.70894e-05
75,2105.97,1.05701,0.61418,1.10734,0.87033,0.82217,0.86404,0.58908,1.37632,0.78578,1.35799,7.43372e-05,7.43372e-05,7.43372e-05
76,2133.34,1.09099,0.66205,1.13293,0.87184,0.81467,0.85632,0.58769,1.36823,0.80304,1.36609,7.1585e-05,7.1585e-05,7.1585e-05
77,2161.26,1.07248,0.64828,1.12608,0.85284,0.82205,0.86362,0.5858,1.36396,0.80354,1.358,6.88328e-05,6.88328e-05,6.88328e-05
78,2188.95,1.06312,0.63493,1.12345,0.8654,0.84397,0.86798,0.58683,1.3786,0.79752,1.36793,6.60806e-05,6.60806e-05,6.60806e-05
79,2215.91,1.06699,0.60696,1.10637,0.85039,0.85729,0.87232,0.59208,1.37815,0.79485,1.36794,6.33284e-05,6.33284e-05,6.33284e-05
80,2243.61,1.06226,0.61289,1.09633,0.87161,0.8222,0.87007,0.59139,1.36804,0.7942,1.35751,6.05762e-05,6.05762e-05,6.05762e-05
81,2271.03,1.04513,0.60201,1.09433,0.8859,0.81415,0.87529,0.5978,1.3709,0.80016,1.35956,5.7824e-05,5.7824e-05,5.7824e-05
82,2299.11,1.054,0.60276,1.10431,0.88736,0.80834,0.87735,0.59437,1.37564,0.80494,1.36691,5.50718e-05,5.50718e-05,5.50718e-05
83,2326.43,1.05088,0.63349,1.10691,0.82438,0.851,0.87348,0.58374,1.37251,0.79825,1.3631,5.23196e-05,5.23196e-05,5.23196e-05
84,2353.09,1.04953,0.60929,1.10443,0.832,0.84714,0.87615,0.5889,1.36676,0.79174,1.35297,4.95674e-05,4.95674e-05,4.95674e-05
85,2380.48,1.05207,0.60259,1.10173,0.87075,0.80942,0.87703,0.59027,1.36837,0.79091,1.36191,4.68152e-05,4.68152e-05,4.68152e-05
86,2407.93,1.05344,0.61595,1.10579,0.86068,0.82447,0.8768,0.59473,1.37069,0.79948,1.35763,4.4063e-05,4.4063e-05,4.4063e-05
87,2436.74,1.03783,0.58598,1.09252,0.8656,0.81478,0.87797,0.59293,1.36945,0.80734,1.36101,4.13108e-05,4.13108e-05,4.13108e-05
88,2464.65,1.03083,0.6,1.09134,0.86937,0.82375,0.88086,0.59725,1.36561,0.80316,1.36317,3.85586e-05,3.85586e-05,3.85586e-05
89,2492.01,1.03153,0.5832,1.09628,0.84728,0.83443,0.88143,0.58738,1.37055,0.80175,1.36466,3.58064e-05,3.58064e-05,3.58064e-05
90,2518.81,1.0163,0.58113,1.09099,0.81523,0.86597,0.88247,0.59438,1.3679,0.7971,1.35909,3.30542e-05,3.30542e-05,3.30542e-05
91,2546.79,0.99224,0.5248,1.10482,0.86269,0.80239,0.87687,0.58727,1.37976,0.78736,1.37029,3.0302e-05,3.0302e-05,3.0302e-05
92,2573.93,0.98708,0.52627,1.10381,0.87646,0.7906,0.87573,0.59164,1.37882,0.78322,1.36952,2.75498e-05,2.75498e-05,2.75498e-05
93,2600.8,0.98563,0.51473,1.09553,0.8083,0.85091,0.87488,0.59016,1.38035,0.78742,1.37089,2.47976e-05,2.47976e-05,2.47976e-05
94,2627.77,0.97936,0.51236,1.09795,0.81318,0.84606,0.86975,0.5888,1.37589,0.7911,1.36531,2.20454e-05,2.20454e-05,2.20454e-05
95,2654.73,0.97055,0.51181,1.09341,0.79963,0.84984,0.87225,0.58382,1.37206,0.78792,1.36384,1.92932e-05,1.92932e-05,1.92932e-05
96,2681.2,0.96464,0.50279,1.08415,0.86434,0.80535,0.87786,0.59523,1.37043,0.78918,1.36675,1.6541e-05,1.6541e-05,1.6541e-05
97,2707.97,0.95191,0.50336,1.07418,0.89116,0.80016,0.8799,0.5941,1.37194,0.7856,1.3675,1.37888e-05,1.37888e-05,1.37888e-05
98,2735.1,0.97186,0.5099,1.0917,0.80551,0.86627,0.87959,0.59785,1.3766,0.78775,1.36992,1.10366e-05,1.10366e-05,1.10366e-05
99,2762.64,0.96565,0.51877,1.09173,0.88563,0.80356,0.87872,0.59675,1.38092,0.79644,1.37486,8.2844e-06,8.2844e-06,8.2844e-06
100,2790.66,0.95404,0.49538,1.07285,0.88479,0.80834,0.87911,0.59759,1.37624,0.79164,1.37266,5.5322e-06,5.5322e-06,5.5322e-06
