 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 1.54021161e-02  1.54021161e-02  3.85688931e+00  5.00000000e+00  4.34921307e+00  3.40040190e+00  2.73779079e+00 
 1.59021161e-02  1.59021161e-02  3.90925898e+00  5.00000000e+00  4.34738192e+00  3.42010359e+00  2.75561131e+00 
 1.64021161e-02  1.64021161e-02  3.95885347e+00  5.00000000e+00  4.34553526e+00  3.44087497e+00  2.77448703e+00 
 1.69021161e-02  1.69021161e-02  4.00581987e+00  5.00000000e+00  4.34408701e+00  3.45843931e+00  2.79055872e+00 
 1.74021161e-02  1.74021161e-02  4.05029747e+00  5.00000000e+00  4.34259417e+00  3.47718358e+00  2.80776604e+00 
 1.79021161e-02  1.79021161e-02  4.09241819e+00  5.00000000e+00  4.34142389e+00  3.49283315e+00  2.82220586e+00 
 1.84021161e-02  1.84021161e-02  4.13230693e+00  5.00000000e+00  4.34019203e+00  3.50976036e+00  2.83786149e+00 
 1.89021161e-02  1.89021161e-02  4.17008200e+00  5.00000000e+00  4.33923122e+00  3.52369231e+00  2.85079751e+00 
 1.94021161e-02  1.94021161e-02  4.20585542e+00  5.00000000e+00  4.33819852e+00  3.53898898e+00  2.86502569e+00 
 1.99021161e-02  1.99021161e-02  4.23973327e+00  5.00000000e+00  4.33740016e+00  3.55137948e+00  2.87658657e+00 
 2.04021161e-02  2.04021161e-02  4.27181602e+00  5.00000000e+00  4.33652346e+00  3.56521243e+00  2.88951057e+00 
 2.09021161e-02  2.09021161e-02  4.30219880e+00  5.00000000e+00  4.33585395e+00  3.57621949e+00  2.89982032e+00 
 2.14021161e-02  2.14021161e-02  4.33097170e+00  5.00000000e+00  4.33510202e+00  3.58873839e+00  2.91155820e+00 
 2.19021161e-02  2.19021161e-02  4.35822003e+00  5.00000000e+00  4.33453658e+00  3.59850392e+00  2.92073356e+00 
 2.24021161e-02  2.24021161e-02  4.38402459e+00  5.00000000e+00  4.33388612e+00  3.60984316e+00  2.93139609e+00 
 2.29021161e-02  2.29021161e-02  4.40846188e+00  5.00000000e+00  4.33340600e+00  3.61849465e+00  2.93954548e+00 
 2.34021161e-02  2.34021161e-02  4.43160435e+00  5.00000000e+00  4.33283919e+00  3.62877499e+00  2.94923529e+00 
 2.39021161e-02  2.39021161e-02  4.45352063e+00  5.00000000e+00  4.33242986e+00  3.63642696e+00  2.95645842e+00 
 2.44021161e-02  2.44021161e-02  4.47427568e+00  5.00000000e+00  4.33193281e+00  3.64575686e+00  2.96526983e+00 
 2.49021161e-02  2.49021161e-02  4.49393103e+00  5.00000000e+00  4.33158283e+00  3.65251219e+00  2.97165787e+00 
 2.54021161e-02  2.54021161e-02  4.51254496e+00  5.00000000e+00  4.33114451e+00  3.66098906e+00  2.97967703e+00 
 2.59021161e-02  2.59021161e-02  4.53017265e+00  5.00000000e+00  4.33084470e+00  3.66694015e+00  2.98531295e+00 
 2.64021161e-02  2.64021161e-02  4.54686635e+00  5.00000000e+00  4.33045622e+00  3.67465146e+00  2.99261824e+00 
 2.69021161e-02  2.69021161e-02  4.56267557e+00  5.00000000e+00  4.33019915e+00  3.67988124e+00  2.99757736e+00 
 2.74021161e-02  2.74021161e-02  4.57764715e+00  5.00000000e+00  4.32985328e+00  3.68690554e+00  3.00423988e+00 
 2.79021161e-02  2.79021161e-02  4.59182548e+00  5.00000000e+00  4.32963284e+00  3.69148846e+00  3.00859035e+00 
 2.84021161e-02  2.84021161e-02  4.60525260e+00  5.00000000e+00  4.32932358e+00  3.69789625e+00  3.01467444e+00 
 2.89021161e-02  2.89021161e-02  4.61796831e+00  5.00000000e+00  4.32913470e+00  3.70189912e+00  3.01847785e+00 
 2.94021161e-02  2.94021161e-02  4.63001029e+00  5.00000000e+00  4.32885709e+00  3.70775366e+00  3.02404165e+00 
 2.99021161e-02  2.99021161e-02  4.64141426e+00  5.00000000e+00  4.32869554e+00  3.71123646e+00  3.02735358e+00 
 3.04021161e-02  3.04021161e-02  4.65221400e+00  5.00000000e+00  4.32844538e+00  3.71659453e+00  3.03244956e+00 
 3.09021161e-02  3.09021161e-02  4.66244155e+00  5.00000000e+00  4.32830759e+00  3.71961105e+00  3.03532009e+00 
